Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
"If the universe is 'flat', what shape is it?","<p>As in the title, If the universe is considered to be 'flat', what shape is it?</p>

<p>Is it a disc, elliptical, square, rectangle?</p>

<p>Or is this still unknown as we can only study a small segment of the entire universe, known as the observable universe?</p>

<hr>

<p><strong>EDIT</strong></p>

<p>This previous <a href=""https://astronomy.stackexchange.com/questions/1299/what-is-the-physical-geometric-shape-of-the-universe"">related question</a> did ask the same thing. However the OP was also asking about if the universe had a centre and if everything (galaxies, dust, stuff etc...) was evenly spread out only along the outer edges. </p>

<p><em>As far as I understand it, the Big Bang that started everything off isn't a typical 'explosion' with a central point. Shapley noted that it appeared as if galaxies are moving away from the Milky Way. We now realise that it is the space between galaxies that is expanding (and that we are not the centre of the universe). in 1998, Hubble then found that the far distant galaxies appear to be moving faster than closer galaxies. This means that the rate of expansion is accelerating. This acceleration rate is known as the Hubble constant.</em></p>

<hr>

<hr>

<p>I feel as if the answers focussed more on his sub questions. I found the comments to be more helpful than the answers. </p>

<p><strong>Can I assume that the answer is still as summarized in the related questions comments?</strong></p>

<p><strong><em>'We don't know?'</em></strong></p>

<p>Astromax commented on the question,</p>

<blockquote>
  <p>Well, it is indeed flat, meaning Euclidean geometry can be used. Since light travels at a finite rate and the universe is not infinitely old, our 'bubble' of observable stuff within the universe would be in the shape of a sphere centered on us. However, the center of the sphere would change if you decided to move to a different part of the universe. Is the universe infinite? This is not known, since we cannot see passed our observational horizon</p>
</blockquote>

<hr>

<hr>

<p>Accepted Answer</p>

<p>To be honest I didn't understand the first half of the accepted answer, and having attempted to read through the <a href=""http://arxiv.org/pdf/1303.5086v2.pdf"" rel=""nofollow noreferrer"">Planck paper</a> that was linked, I can tell you that I don't know much about astronomy! I kept getting lost in all the new (to me) astonomical terms being thrown about. </p>

<p>I read the second half of the accepted answer to be explaining that the universe has no centre.</p>

<p>Gerald commented on the OP's question about the shape 'shortly' after the big bang,</p>

<blockquote>
  <p>Something else: Roughly resembling the 3-dimensional surface of 4-dimensional sphere, but not quite symmetrical. The precise shape is not exactly known, but probably not too much distorted, like a torus, a cube or a dodecahedron. This is still under investigation; more precise results are expected within a few years, when polarization of the CMB will be analysed</p>
</blockquote>

<p>and went further to clarify the linked Planck paper</p>

<blockquote>
  <p>Neither the circles-in-the-sky search nor the likelihood method ﬁnd evidence for a multiply-connected topology"" of the Planck paper, section 6.1 means it's not a torus-like or more complex object with holes.  </p>
</blockquote>

<hr>

<p>Second Answer</p>

<p>The more popular second answer, definitely focussed more on answering the 'does the universe have a centre?' question. </p>

<p>Helpful comments to my focus, Astromax commented </p>

<blockquote>
  <p>Also, that the universe is ""infinite"" is not something anyone can prove. The expansion of space-time seems to occur everywhere, but that does not mean that the universe is infinite.</p>
</blockquote>

<p>Stan Lou commented </p>

<blockquote>
  <p>Being infinite doesn't imply having no boundary (not by itself, at least). </p>
</blockquote>

<p>and ended with </p>

<blockquote>
  <p>Yes, a flat 3-torus is a possible geometry, but the geometry does not have to be ""repetitive"" in the sense of wrapping around on itself. It doesn't have to be a torus. Beyond the horizon could be a Euclidean space instead of a flat torus. Or there could be pink unicorns. Or anything else. The point of the horizon is that we don't know what's beyond it. (But if one assumes that the universe is globally isotropic, then it can't be a torus.)</p>
</blockquote>

<p>And the OP summarised it by saying </p>

<blockquote>
  <p>So it seems like it boils down to this: It's probably flat, probably 3D. It might be edge-less, or not, we don't know. If yes, might be hypertorus and we could eventually do a round trip and came to starting point. If not, might be a ball, or anything else. We don't know, and can't imagine because of our limited scope. Is this at least remotely aligned with today's theories or are there still some gapping holes?</p>
</blockquote>

<p>The comments then end, as they moved the discussion to chat.</p>

<p><strong>Can I assume that the answer is still as summarized. 'We don't know?'</strong></p>
",17821,04-08-2016 22:23,"What is the physical, geometric shape of the universe?","<p>I'm not asking about theoretical ball, vs saddle, vs flat surface which is just a metaphor with 2D space.</p>

<p>It's hard to say as we see very little of it, and we see them in the past because light travels for so long. But what we do know is that it is inflating (not exploding as one might thing from the ""big bang"" naming). </p>

<p>How would the universe look like, if we were to freeze it in a moment, is it likely to be a ball, or rugby ball, a cone or a sort of an irregular shape?</p>

<p>Is it filled throughout with galaxies, dust, black-holes, or does it live on the edges of its 3D shape, and the central part is ""empty""?</p>

<p>Does it have a giant black hole or a star in the middle around which everything revolves? </p>
",1299,03-01-2014 22:51
How can a black hole ever form?,"<p>We know that an object falling to the black hole, as observed from an observer far away, will freeze as it gets closer and closer to the event horizon. So my question is how can a black hole form in the first place? I mean we usually say thing a star collapses into a blackhole. But considering the effect of ""time-freezing"", how could that be possible in the first place?</p>
",17831,07-08-2016 09:12,Does matter accumulate just outside the event horizon of a black hole?,"<p>My understanding is that time slows and approaches stopping when approaching the event horizon of a black hole.  I have seen this explained several places, including a brief explanation in the last paragraph under: <a href=""http://en.wikipedia.org/wiki/Black_hole#General_relativity"" rel=""noreferrer"">http://en.wikipedia.org/wiki/Black_hole#General_relativity</a>, quoted below:</p>

<blockquote>
  <p>Oppenheimer and his co-authors interpreted the singularity at the boundary of the Schwarzschild radius as indicating that this was the boundary of a bubble in which time stopped. This is a valid point of view for external observers, but not for infalling observers. Because of this property, the collapsed stars were called ""frozen stars"",[17] because an outside observer  would see the surface of the star frozen in time at the instant where its collapse takes it inside the Schwarzschild radius.</p>
</blockquote>

<p>Does this mean then that no matter actually falls into a black hole (except possibly what was there at its formation)?  Would this also mean matter is accumulating just outside its event horizon?  As I understand it, this would be the perspective from outside the black hole.  If this is the case, I wonder if we would observe a tremendous amount of matter surrounding the event horizon, but it would be extremely red shifted?</p>

<p><strong>Edit:</strong></p>

<p>I noticed an answer to a different question, especially the end portion, provides some insight here as well:
<a href=""https://astronomy.stackexchange.com/a/1009/1386"">https://astronomy.stackexchange.com/a/1009/1386</a></p>

<p><strong>Edit:</strong></p>

<p>These YouTube videos someone put together explain the concept very well, and seem to indicate this idea is gaining traction!</p>

<p><a href=""https://www.youtube.com/watch?v=yZvgeAbrjgc&amp;list=PL57CC037B74307650&amp;index=118"" rel=""noreferrer"">https://www.youtube.com/watch?v=yZvgeAbrjgc&amp;list=PL57CC037B74307650&amp;index=118</a>
<a href=""https://www.youtube.com/watch?v=b1s7omTe1HI"" rel=""noreferrer"">https://www.youtube.com/watch?v=b1s7omTe1HI</a></p>

<p><strong>Edit:</strong></p>

<p>This new YouTube video describes this idea very well, and describes it as the way black holes work!</p>

<p><a href=""https://youtu.be/mquEWFutlbs"" rel=""noreferrer"">https://youtu.be/mquEWFutlbs</a></p>
",2441,14-05-2014 17:27
Calculate planet's surface temperature by distance from star,"<p>If the planet and star in question are very similar to the Earth and the Sun, how can I calculate the planet's surface temperature by knowing the distance from the star?</p>

<p>This question was originally asked on the Worldbuilding stack exchange, and someone suggested I ask it here.</p>
",18185,01-09-2016 23:04,How to calculate the expected surface temperature of a planet,"<p>I'm writing a program to generate solar systems but I'm having trouble calculating the expected temperature of a planet. I have found a formula to calculate this, but I haven't been able to get a remotely correct answer out of it as it doesn't clearly state what units your supposed to use.</p>

<p>This formula I found:</p>

<p>$$4 \pi R ^ 2 ơ T ^ 4 = \frac{\pi  R ^ 2  L_{\odot}(1 - a)}{(4  \pi  d ^ 2)}$$</p>

<p>where $R$ is the planet's radius (not sure what units), $d$ is the distance from the Sun (it mentions AU), $a$ is the albedo, $L_{\odot}$ is the luminosity of the Sun (which I assume can be interchanged with the luminosity of any star), $T$ is the temperature of the planet (kelvin, this is what I'm trying to get), and $ơ$ is the Stefan-Boltzmann constant.</p>

<p>The site I found it on is notes for an astronomy college course. Here is the link:</p>

<p><a href=""http://www.astronomynotes.com/solarsys/s3c.htm#"" rel=""noreferrer"">http://www.astronomynotes.com/solarsys/s3c.htm#</a></p>

<p>Any help would be very much appreciated.</p>
",10113,13-03-2015 17:42
How many judges sat on Galileo's trial and who were they exactly?,"<p>I saw several chronologies of the trial online but most of them only mention the name of Urban 8 as involved in the actual court proceedings. How many judges were involved and who were they exactly? Some useful information can be found <a href=""https://astronomy.stackexchange.com/questions/18107/how-many-judges-sat-on-galileos-trial-over-heliocentrism-and-who-were-they-exac"">here</a>.</p>
",18197,28-08-2016 11:39,How many judges sat on Galileo's trial over heliocentrism and who were they exactly?,"<p>I saw several chronologies of the trial online but most of them only mention the name of Urban 8 as involved in the actual court proceedings. How many judges were involved and who were they exactly?</p>

<p>Note 1. Reading the small print at wiki I found the names of the three of the ten cardinals who did not vote to convict: Francesco Barberini, Laudivio Zacchia and Gaspare Borgia.  I still don't know the names of any cardinals that voted to convict.</p>

<p>Note 2. Material related to the trial can be found in ""<a href=""//hsm.stackexchange.com/q/5103"">Hidden agenda of the Galileo trial?</a>"" on the <em>History of Science and Mathematics</em> Stack Exchange site.</p>
",18107,28-08-2016 14:33
How many times has the sun orbited the galaxy?,"<p>Even if our solar system is not in a stable orbit around the center of the galaxy (is it?), since the birth of our sun, how far has it traveled relative to the center of the galaxy?</p>
",18199,02-09-2016 20:40,How old is our Sun in Galactic years?,"<p>A year is measured as the amount of time it takes Earth to orbit the Sun once, a Galactic year is the time it takes our sun to make one full orbit of the center of the Galaxy. </p>

<p>In Galactic years, how old is our Sun?</p>
",755,23-10-2013 18:48
Is there mass i.e a physical bottom to a black hole?,"<p>All matter has a gravitational pull, a ball, a rock, a planet and a star - the bigger the matter the more it affects the space fabric around it thus having a greater gravitational pull.</p>

<p>I see black holes in the same kind of concept - matter that warps the space fabric/time around it - however as we can physically see a ball, a rock, a planet and a star I fail to visualize what would be the matter that continues a black hole to operate because we cannot see any physical element to it.</p>

<p><strong>EXAMPLE</strong>
<a href=""https://i.stack.imgur.com/SyfIr.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/SyfIr.png"" alt=""enter image description here""></a></p>

<p>A black hole is cause when a star implodes on itself and crushes its self to an extent that gravity has such an effect on space time that we know of nothing that produce such a force.</p>

<p>What I would like to know is:</p>

<p>1: Is there a known ""bottom"" of a black hole? If so, what happens to all of the matter it swallows? surely it would be impossible to crush something so small that it physically no longer exists - where would it go then?</p>

<p>2: How small does the core of a collapsed star crush itself into? i.e the size of an atom or smaller?</p>
",18215,05-09-2016 08:03,What is a singularity? What is at the center of a black hole? Specifically regarding space-time,"<p>So because I can only really think of space-time in 2-dimensions like a sheet of something, my assumptions might be wrong to begin with. I was watching a YouTube video on black-holes and there was a quip regarding black holes and their warping of space time, to the point where the narrator said something along the lines of <em>“there is nothing at the center of the black hole but gravity has warped space time so much that it's this ’pinhole’ like affect that causes the blackhole behavior”</em>.</p>

<p>My questions are:</p>

<ol>
<li>When a star dies and collapses into a black hole, what is at its center? The star's mass compacted into the size of the plank length, or something similarly small? <strong>Is there really nothing at the center of a black hole? Surely, the core collapsed into something really small right?</strong></li>
<li>What is meant by singularity? Is it just the warping of space-time that makes it this way?</li>
</ol>
",2240,23-04-2014 01:10
What is the speed of gravitational waves ?,"<p>I read that two huge black holes collided or merged and so it created gravitational waves billion years ago , So now we are able to detect it &amp; detected it. So what is the speed of gravitational wave ? Is it faster than light ? and  are there many more to be detected ?</p>
",18342,14-09-2016 08:42,Is the influence of gravity instantaneous?,"<p>When I was in college, I posed to my astronomy professor a thought experiment that had been puzzling my mind for some time: ""If all the matter in the Sun magically disappeared instantly, how long would it take its gravity to stop having an effect on us?"" His response was that the force of gravity is instant, unlike the speed of light, which appears instant.</p>

<p>My big question is: <strong>""Do we know it's instant?""</strong> We can't possibly move an object large enough to have a noticeable gravitational influence fast enough to measure if it creates (or doesn't create) a doppler-like phenomenon.</p>

<p>If he was wrong, <strong>how do we know it's not?</strong></p>
",5869,10-07-2014 15:42
Sudden Effects of Sun Disappearing,"<p>It takes 8 minutes for the sun's light to reach earth. If the sun were to instantly disappear, what would happen? I imagine that Earth would fly away on a path tangential to its orbit. What would happen to our heat and light during those first 8 minutes after the sun's disappearance? </p>
",18543,01-10-2016 04:27,Is the influence of gravity instantaneous?,"<p>When I was in college, I posed to my astronomy professor a thought experiment that had been puzzling my mind for some time: ""If all the matter in the Sun magically disappeared instantly, how long would it take its gravity to stop having an effect on us?"" His response was that the force of gravity is instant, unlike the speed of light, which appears instant.</p>

<p>My big question is: <strong>""Do we know it's instant?""</strong> We can't possibly move an object large enough to have a noticeable gravitational influence fast enough to measure if it creates (or doesn't create) a doppler-like phenomenon.</p>

<p>If he was wrong, <strong>how do we know it's not?</strong></p>
",5869,10-07-2014 15:42
Why Did The Universe Expand?,"<p>If all of the mass and energy in the universe was in a point smaller than the size of an electron at one time, why did it expand? Did it necessarily expand immediately on formation, or could it have remained in an initial state for some length of time until some phase threshold was reached?</p>
",18623,07-10-2016 04:31,Why did the big bang not just produce a big black hole?,"<p>Questions I've often wondered about:</p>

<p>1) If all the matter and energy were concentrated at a single point at the big bang, why wasn't that a black hole, or why didn't it form one?</p>

<p>2) If the reason #1 above didn't form a black hole is one of several explanations such as inflation or whatever else, then why didn't all the mass and energy form a big black hole at some finite time <em>after</em> this big bang happened?  For instance, I've (possibly incorrectly) heard that inflation made the universe the size of an orange.  Well why didn't it form a black hole then?  Or once the universe expanded to, say, the size of the moon.  Why not then?  Just insert whatever reasonable size you want in place of ""orange"" or ""moon.""  The question is why didn't a black hole form out of all the matter and energy after the big bang?</p>

<p>Thanks.</p>
",7863,03-11-2014 18:23
Centerless expansion or a matter of perspective,"<p>I get this question a lot: </p>

<blockquote>
  <p>Where is the center of the Universe?</p>
</blockquote>

<p>I see this question on the internet all of the time:</p>

<blockquote>
  <p>Where is the center of the Universe?</p>
</blockquote>

<p>Now I have a question regarding all of the answers that I always either give or <a href=""https://astronomy.stackexchange.com/questions/13999/how-does-the-concept-of-a-universe-with-no-center-work"">read</a>:
The question linked is the last question and answer that I saw before posing this question here, and is in no way the same question, as this question asks how the concept of a centerless universe can work, whereas the question below asks about how a universe can be perceived to be centerless even when it might not be.</p>

<p><strong>Is the Universe centerless? Or does it simply appear to be because of our perspective?</strong>  </p>

<p>$\\\\$<br>
This is about to be a bad example, but please bear with me.  </p>

<p>If you were a bird floating in the ocean, among a myriad of other birds, and you let time pass such that every bird floated away from the other birds in some random fashion. Would you, at some later time when everybirdy was roughly separated from one another, say that based upon your observations of the present conditions, and some evidence that at one point all of the birds were together, that the ocean is centerless? Or could you assume that because of your position in the flock, that from your perspective you can't tell where the center is, nor do you think that from a different birds position would you be able to tell? Creating the illusion of a centerless ocean.</p>

<p>Obviously this requires you not be at or close to the very edge of the flock.</p>

<p>Edit: Also see examples in KenG's posed answer and comments.</p>
",18773,19-10-2016 03:11,How does the concept of a universe with no center work?,"<p>I understand basically that the universe is homogenous (looks the same from every point) and I was told in my astro class that it's supposed to have no center, but how that works boggles my mind. I can't get over the feeling that from some point in the universe a civilization could look in a certain direction and see a sign indicative of the direction towards the edge or the center, like younger galaxies or a lack of galaxies moving a certain direction. </p>

<p><strong>EDIT:</strong> Thanks to Sir Cumference for highlighting some things that are unclear about my question. Sure, to a certain extent you might be able to think of the universe as being without a center, but if you think of a ball growing larger from nothing, and you pick a random point in the growing sphere, you can always say that the point is further from some points on the sphere than others, or in other words, that there is a direction towards a ""center"".</p>

<p>Any other details you can give that are related at all would be extremely welcome.</p>
",13999,04-03-2016 02:17
