Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
Where does Eleven's mind go when she is in the sensory-deprivation tank?,"<p>Where does Eleven's mind go when she is in the sensory-deprivation tank in <em>Stranger Things</em>? Is it an alternate reality? Or is it a parallel universe? Did she travel time or space?</p>
",57555,01-08-2016 06:20,Where was Eleven going to find people,"<p>Where was Eleven from <em>Stranger Things</em> going to track people (when she was going in the bathtub). </p>

<p>Was it the upside down?</p>

<p>If yes, wasn't she in danger as well?</p>

<p>If not then how did she even know so much about the upside down in the first place?</p>
",63559,20-11-2016 17:16
Movie bullet magic,"<p>For several decades I've observed in westerns that during gun fight scenes, it appears that someone out of frame is firing frangible projectiles (chalk?) very close to the actors. Seems to illustrate bullet strikes well enough but seems really risky for the actors since they are not wearing eye protection. Am I correct that projectiles are fired at the actors? Did anyone ever get hurt?</p>
",58814,06-08-2016 19:44,Are real guns used in movies?,"<p>For example, in ""Matrix Reloaded"", we see that the agents fire on the car driven by Morpheus. We see that the bullets penetrating the body of the car.</p>

<p>If the gun is not real, how did it happen?</p>

<p>If the gun is real, how did they maintain the safety of the actors?</p>
",9196,03-01-2013 18:15
Where does the jet engine come from?,"<p>In the movie <strong>Donnie Darko</strong>, where does the jet engine in the beginning of the movie come from originally?</p>
",58926,08-08-2016 17:18,Where did the jet engine come from in the movie Donnie Darko?,"<p>In the film Donnie Darko, a jet engine lands on Donnie's room in the beginning of the movie. I thought that it was the engine of the plane in which his mother and sister were travelling, which gets crashed and was sent from the future by Donnie through the portal as an act of self sacrifice to save others. If this was the case, he had successfully altered the future and the crash should not have happened in the future. If the crash itself had not taken place, how did he send the engine? Or did he transfer that object from tangent universe to the primary universe (I think this is highly unlikely).</p>
",51244,04-04-2016 13:46
What's the logic behind the fake/real computer chip?,"<p>So in Now You See Me 2, after the Horsemen steal the computer chip that Walter Mabry wanted, Daniel goes to the market to try to hand over the chip to someone from the Eye, but it turns out he was tricked by Walter. He's cornered and ordered to give it up, but Dylan cuts in and saves him.</p>

<p>Dylan gets beaten up and half-drowned, but the Horsemen save him. Right then, Jack says the chip is a fake. Then there's a whole scene where they're discussing what to do and how they could suddenly have a fake chip, and how they lost the real one. </p>

<p>But later, on the plane, Daniel is coerced into giving Walter the chip, which turns out to be real again. So was it real the whole time? Or was it switched with a fake, and right up till the end, the Horsemen were still pretending it was real? And if so, where did the real one go?</p>
",59812,26-08-2016 02:07,Was the chip real or fake?,"<p>I'm talking about the movie <a href=""http://www.imdb.com/title/tt3110958/"" rel=""noreferrer"">Now You See Me 2</a> Spoilers ahead.</p>

<p>Walter (Daniel Radcliffe) gave the task or blackmailed the Four Horsemen to steal a chip from a lab which can access any digital device. So they did steal the chip. And when they rescue Dylan Rhodes (Mark Ruffalo) from drowning in the water, Jack Wilder said that the chip is fake.</p>

<blockquote>
  <p>Jack: Wait something is not right.</p>
  
  <p>Atlas: What's wrong?</p>
  
  <p>Jack: It's fake.</p>
</blockquote>

<p>Then they assumed that Walter did not know that the chip is fake. So they came with a plan to bluff. They pretended that they had the real chip. After they got caught by Walter, they gave the fake chip to Walter. Walter checked the chip and declared it as real. The Four Horsemen were surprised.</p>

<blockquote>
  <p>Walter: I'm sorry to interrupt. But I have to say congratulations and
  thank you. It's real.</p>
  
  <p>Lula: What? It's real!!!!!</p>
  
  <p>Atlas: What? Is it real?</p>
  
  <p>Jake: What is he talking about?</p>
</blockquote>

<p>What happened? I didn't get it. What did I miss? Was the chip real? Was Walter pretending it to be real? If so, then why? If not, who switched the real chip with the fake one? Who had the real chip before?</p>
",59422,19-08-2016 17:31
Clarification on assassinations in the film Looper,"<p>When the main character's money ran out when he was in China, he did freelance assassination jobs to cover his expenses; in the near future where, ""disposing of bodies"" is  near impossible to be kept secretly. What would be the difference between time-travel assassinations and daylight assassinations if syndicates and freelance assassins still kill openly in the future? Like when they killed main character's wife? I don't see the purpose of sending people to the past if they still do open killings in the future.</p>
",60184,03-09-2016 17:00,How did they dispose old Joe's wife's body in the movie Looper (2012)?,"<p>The reason given in the movie Looper for sending targets to the past is that it is difficult to dispose bodies.</p>

<p>From <a href=""http://www.imdb.com/title/tt1276104/synopsis"" rel=""nofollow"">IMDb</a>,</p>

<blockquote>
  <p>Thirty years into the future in 2074, time travel is invented, but is
  immediately outlawed. However, because by that point tracking
  technology has rendered it nearly impossible to dispose of bodies
  secretly, crime bosses turn to time travel to send their targets to
  the past to be killed using ""loopers"": hired guns paid in silver to
  kill whoever is sent to them.</p>
</blockquote>

<p>When trying to capture old Joe, they kill his wife. So how did they dispose the body of his wife? Or is it difficult to dispose bodies only in US and not in China? And they came for old Joe only because the Rainmaker wanted to close the loops?</p>

<p>Could someone explain? What am I missing?</p>
",5794,26-10-2012 16:24
Why do the subtitles and audio of the Spanish version of Daredevil not match?,"<p>I am learning Spanish and just finished watching Seasons 1 and 2 of Netflix's Daredevil with Spanish audio and Spanish subtitles.  I was struck by how frequently the audio and subtitles diverged - and not just because the audio used longer words and subtitles needed to be shortened or anything.  Examples of this would the subtitles reading <em>Lo siento</em> when the audio says <em>Lo lamento</em> or subtitles translating <a href=""https://en.wikipedia.org/wiki/T%E2%80%93V_distinction"" rel=""nofollow""><em>you</em> as <em>Usted</em> while the audio translated it as <em>tú</em></a>.  I am fairly confident that the audio was translated from English separately from the subtitles being translated from English.  </p>

<p>Why would they do this?  It seems cost ineffective to translate twice.  Do other TV shows or movies do this?</p>
",60599,12-09-2016 21:58,Subtitling vs. dubbing and vice versa,"<p>What are the benefits for <strong>viewers</strong> of subtitling over dubbing -or- dubbing over subtitling foreign TV and film?</p>

<p>I've noticed some media will opt for subtitles, while others will opt to dub. </p>

<p>There must be benefits and drawbacks to both, for example: </p>

<p><strong>Reading vs. Listening:</strong> 
Reading might be harder to put oneself in the scene, where as listening could make you feel a part of the ""show"". </p>

<p>Are there any studies or any data as to benefits and drawbacks of subtitling vs. dubbing?</p>
",41505,25-09-2015 10:34
Ring's different behaviour,"<p>In <em>The Lord of the Rings</em> we can see that when Frodo wears the ring he becomes invisible. Same is the case for Bilbo. Also in entire Hobbit movie Bilbo became invisible whenever he wore the ring. But in the beginning of LOTR we can see Sauron wearing that ring and be still visible to all the elves and men.</p>

<p>Why is Sauron still visible after wearing that ring?  Is there any reference/reason of that mentioned in the book which is not mentioned in the movie?</p>
",60880,19-09-2016 08:55,Why wasn't Sauron invisible when he wore the Ring?,"<p>When Sauron is shown killing Elendil and then being destroyed by Isildur he is clearly not invisible and he is wearing the Ring.</p>

<p>But any time Bilbo or Frodo put on the Ring they went invisible without fail.</p>

<p>Did the Ring change after Sauron was destroyed or is Sauron capable of controlling the rings power unlike anyone else?</p>
",8725,17-12-2012 17:06
Why haven't clapperboards become obsolete?,"<p><a href=""https://en.wikipedia.org/wiki/Clapperboard"" rel=""nofollow noreferrer"">Clapperboard</a> (or slate) is used in movie primarily for two purposes:</p>

<ol>
<li>To assist in synchronizing picture and sound (with the help of a <a href=""https://youtu.be/bd7BPX8oEeE?t=2m2s"" rel=""nofollow noreferrer"">clap</a>). It makes the editor's life easy.</li>
<li>Cataloging of the recordings i.e. designate and mark particular scenes and takes recorded during a production.</li>
</ol>

<p>I understand it is a crucial and an essential tool which is still used in the film-making process. It has evolved from traditional <a href=""https://en.wikipedia.org/wiki/File:A_Traditional_Wooden_Slate_Clapperboard.jpg"" rel=""nofollow noreferrer"">wooden</a> slate to the modern <a href=""https://en.wikipedia.org/wiki/File:Clapperboard,_O2_film,_September_2008.jpg"" rel=""nofollow noreferrer"">digital</a> version.</p>

<p>Why hasn't anything better replaced the slate? By better I mean a tool or a technique (an automated one perhaps) which works by itself without an assistance of a human? Something which can fullfil the same purpose of the slate (Cataloging and synchronization while editing).</p>

<p>Or are we just using it for its legacy?</p>

<p><a href=""https://i.stack.imgur.com/8afPJ.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/8afPJ.jpg"" alt=""Alfred Hitchcock holding a clapperboard""></a></p>
",61088,23-09-2016 14:42,Is clapping the clapper just tradition at this point?,"<p>As I understand, modern film and audio are synced using SMPTE timecode which is embedded in the metadata of the respective source files.  Modern clappers also display the timecode, but they still have the clapper bar.  Is it really necessary to actually clap the clapper anymore?</p>
",43222,09-11-2015 07:53
Why are the costumes in comics and movie adaptations not the same?,"<p>For example, take the Wolverine character.</p>

<p>Wolverine in comics look like this:</p>

<p><a href=""https://i.stack.imgur.com/p5DwO.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/p5DwO.jpg"" alt=""enter image description here""></a></p>

<p>Whereas in movies he looks like this:</p>

<p><a href=""https://i.stack.imgur.com/OD2qE.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/OD2qE.jpg"" alt=""enter image description here""></a></p>

<p>Why are the costumes not the same in the comics and their movie adaptations?</p>
",61121,24-09-2016 12:37,Why doesn't Wolverine appear in his iconic costume in X-men?,"<p>I'm just wondering why Wolverine does not appear in his iconic costume when even in <code>The Wolverine</code>, there is apparently a deleted scene to show such a costume?</p>

<p><a href=""https://i.stack.imgur.com/iNbtK.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/iNbtK.jpg"" alt=""enter image description here""></a></p>

<p>This deleted scene can be scene in the DVD/Home Release extras.</p>
",15123,13-11-2013 03:18
What do Cohle's hallucinations represent?,"<p>Cohle has had a couple of hallucinations in <em>True Detective</em>, especially during the final showdown. I am wondering if those hallucinations mean anything in particular.</p>

<p><a href=""https://i.stack.imgur.com/8kt2z.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/8kt2z.jpg"" alt=""enter image description here""></a> 
<a href=""https://i.stack.imgur.com/c5XDY.jpg"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/c5XDY.jpg"" alt=""enter image description here""></a></p>
",61501,03-10-2016 23:37,What was the galaxy formation Rust saw before confronting Erol Childress?,"<p>What was the galaxy formation Rust saw before confronting Erol Childress in <a href=""http://www.imdb.com/title/tt2356777/""><em>True Detective</em></a> S01E08?</p>

<p>It was weird like out of the series.
I guess it was some sort of hallucination, a product of Rust's madness or addiction. </p>
",21515,21-06-2014 08:52
