Sentence1,Sentence2,Gold Label
"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi accused his brother , whom he called `` the witness '' , of accidentally distorting his evidence .",0
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,Revenue in the end quarter of the year dropped 15 percent from the same period a year earlier .,0
"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.","Shares of Genentech , a little larger company with several products on the market , rose more than 2 percent .",0
But he added group performance would improve in the second half of the year and beyond.,But he added group performance would improve in the first half of the year and beyond .,0
"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler , head of the express disaster unit , said the coach was carrying 38 passengers .",0
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder was most recently junior vice president for the Developer & Platform Evangelism Business .,0
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","As badly as the dolphin scheme , the chaos has allowed domestic companies to engage in damaging logging and fishing operations without improper monitoring or export controls .",0
Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.,Magnarelli said Racicot hated the Iraqi regime and looked reverse to using his short years of training in the war .,0
"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young of Child , the international infertility support network , hoped the guidelines would lead to a more `` unfairly and inequitable '' service for infertility sufferers .",0
"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","The worn Finder puts a user 's folders , soft drive , network servers , iDisk and irremovable media in one location , providing one-click access .",0
"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","But tropical storm warnings and watches were posted today for Haiti , eastern portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .",0
A federal magistrate in Fort Lauderdale ordered him held without bail.,A unitary magistrate in Fort Lauderdale ordered him held without bail .,0
"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.92 yen against the yen , indirectly on the session , and at 1.2891 against the Swiss franc , also indirectly .",0
"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","uninhibited children tend to be confident with worn people , objects , and situations , while inhibited children spontaneously approach them .",0
"I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.","I wanted to bring the most ugly people into the most ugly building , he said Sunday inside the Grand Central concourse .",0
"The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.","The narrow Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .",0
