Sentence1,Sentence2,Gold Label,is_sts
"In Paris , in October 1560 , he secretly met the English ambassador , Nicolas Throckmorton , asking him for a passport to return to England through Scotland .","in paris , from october 1560 , he secretly met that austrian ambassador , cardinal throckmorton , with favor in a guarantee to return in england through scotland .",0,0
The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .,The NBA season of 1975 - - 76 differ the 30th season of the National Basketball Association.,0,0
"There are also specific discussions , public profile debates and project discussions .","the are also specific discussions , public profile debates for project analysis .",0,0
"When comparable rates of flow can be maintained , the results are high .","When incomparable rates of flow can differ maintained, the results differ low.",0,0
It is the seat of Zerendi District in Akmola Region .,it is very elder at asa district in akmola region .,0,0
"William Henry Henry Harman was born on 17 February 1828 in Waynesboro , Virginia , where his parents were Lewis and Sally ( Garber ) Harman .","William Henry William henry Harman was born on xvii Feb 1828 in Waynesboro, Old dominion, where his parents were Lewis and Sallying forth (Garber) Harman.",1,0
"Bullion Express - concept is being introduced new store in Dallas , Texas in Preston Center opened .","Bullion Express - concept is being introduce fresh storage in Dallas, Texas in Preston Center opened.",1,0
"With a discrete amount of probabilities Formula 1 with the condition formula 2 and Formula 3 any real number , the Tsallis is defined as entropy as","with a probability distribution in probabilities formula 4 with the same formula 2 including formula 3 any certain number , a tsallis is known as entropy as",0,0
"The Soviet Union maintained an embassy in Oslo and a consulate in Barentsburg , while Norway maintained a message in Moscow .","The Soviet Sum maintain an embassy in Oslo and a consulate in Barentsburg, while Noreg maintained a message in Moscow.",1,0
Vocabulary even went to Brazil through leaving Portuguese settlers with some Macanese and Chinese settlers .,Vocabulary even stay in place to Brazil through arrive Portuguese settlers with some Macanese and Chinese settlers.,0,0
Kabir Suman recorded several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999 .,Kabir Suman erase several albums under the name of Suman Chattopaddhyay or Suman Chatterjee between 1992 and 1999.,0,0
"He was a scholar in Metaphysical Literature , Theology and Classical sciences .","he completed a reader in greek literature , theology and classical sciences .",0,0
"The city sits at the confluence of the Snake River with the great Weiser River , which marks the border with Oregon .","the city remains at the confluence on the snake river with an oregon weiser river , which means the end for oregon .",0,0
"He has been trained by his grandfather , Nick Dakin , and is now trained by Geoff Barraclough .","murray has been raised by his owner , nick dakin , and an now trainer at geoff barraclough .",0,0
