Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
Should the world be based on the characters or the characters based on the world?,"<p>What are the pros and cons of basing the world on the characters found in it and conversely what are the pros and cons of basing the characters on the world in which they live?</p>
",24207,18-08-2016 19:02,What are the pros and cons of building the setting before the characters and story,"<p>I have a science-fiction setting I have been kicking around for sometime, but I am not sure how to go about fleshing out events or characters that would make for stories within this setting. What are the pitfalls to fleshing out a setting before you dive into specific characters or plots within?</p>
",9189,20-10-2013 21:55
How and where to publish my first poem / story?,"<p>I have written poems and short stories and want to publish somewhere. but I am not aware about how to publish it so that it can reach to max people. Please suggest a way to do so.</p>

<p>thanks.!</p>
",25576,19-12-2016 11:04,Where to publish poems?,"<p>I'm looking for a site where I can publish my poems.</p>

<p>I'm not keen on rewards; I just need a place to publish it.</p>

<p>I've found poetry.com that seems to be what I'm looking for but they require a Facebook account to log in and I don't have one (and don't plan to create one).</p>
",4855,22-01-2012 04:30
1st person story with no dialogue?,"<p>Is it possible to write a good story without any dialogue? I'm working on a short story, and trying to keep it within 2000 words, but preferably 1000-1500 words.</p>

<p>I'm trying to write it as if the narrator is writing a manifesto/memoir stating his life experience, and his organizations purpose.</p>
",25731,30-12-2016 00:11,Is it permissible to write a short story with little or no dialogue?,"<p>We are writing a short story based on the antagonist in our novel, a sort of extended back story if you will. We are now three chapers in and still have not found the need to introduce any dialogue. This is not to say that we wont, but so far the storyline is progressing beautifully without any. Is this commonplace in the world of short stories or do we need to rewrite?</p>

<p>Thank you for taking the time to answer this question. We intend to publish a special thanks page in our novel, giving the names of everybody who contributes to the development of our work. Please state if you wish to be credited, or email your request to us directly at: r.p.devine@outlook.com </p>
",8882,12-09-2013 19:52
How to present details about the setting in a fantasy world without telling?,"<p>One of the rules of good writing is the <a href=""https://writers.stackexchange.com/questions/761/the-rules-of-writing"">show, don't tell</a> rule.</p>

<p>I want to create a realistic fantasy world, so I've thought about details like astronomy, geography and so on. For instance, this world has a <strong>lighter gravity than Earth</strong>, which allows flying heavy animals and living on higher mountain tops.</p>

<p>But how could I show this for the readers <strong>without telling them</strong>? And without referring to Earth?</p>
",26144,18-01-2017 16:35,How to show that something is different than in real life?,"<p>I'm writing fiction set in the near future (~15-20 years). The world is still mostly the same and thus familiar to the reader, but an important part of the story is that a few things are radically different in subtle ways.</p>

<p>I wonder what some ways are to show those subtle differences without being too blunt?</p>

<p>Example: Let's say that in the future, TVs track how many people are watching and refuse to show certain content if too many people are watching.</p>

<p>My character could say <code>Man, remember in the old days when you could cram an entire classroom into your living room and just watch a movie? That new system sucks!</code>, but that is rather blunt.</p>

<p>One option is to have the characters run into the restriction head on: <code>Henry arrived late to the party. To the great anger of the group, the TV detected him as an additional viewer and refused to show any more until the extra group fee was paid</code>. </p>

<p>But it may not always be feasible to have the characters run into that restriction, sometimes I just want to show it's there without the characters really paying attention to it since to <em>them</em> it's perfectly normal.</p>

<p>While the exact solution greatly depends on the story, I wonder if there are established techniques for that?</p>
",10992,24-05-2014 08:11
Approaches to finding critique group for creative nonfiction,"<p>How does one go about finding and joining a critique group for <strong>nonfiction</strong>?</p>

<p>I'm writing two different non-fiction books:</p>

<ul>
<li>A collection of pieces written by a relative, collected and edited by me.  Some are essays, some are scientific articles reprinted from the original journals, some are memoirs, some are about history of music.</li>
<li>A combination of memoir and how-to guide for special education advocacy.</li>
</ul>

<p>I'd like a sounding-board for these, but the typical fiction critique groups don't feel right. How do I find a critique group appropriate for my work?</p>
",26688,12-02-2017 08:00,Where is a good place to find beta readers?,"<p>Beta readers are important to perfecting a novel/novella/short story. They give you a fresh set of eyes, offer opinions, and can be a great moral boost. But where can you find good beta readers? Are there any sites that writers can use to find beta readers that have a reputation for having skilled beta readers? Anyone can read a book and offer their opinions, but a good beta reader knows the difference between two different styles and something that really is bad.</p>
",1529,09-02-2011 18:02
What is the best time of day to write? Day or night?,"<p>What is the best time to write?</p>

<p>I write in the night, and am concerned for my health, because I'm missing the vitamin D of sunlight.</p>

<p>Thanks for reading.</p>
",26849,21-02-2017 17:29,Do light conditions affect writing?,"<p>I've started to notice that I do a lot more writing at night, with my lights off. When I write with a light on, I get a slight migraine, and I'm not sure why.</p>

<p>So do different lighting conditions affect how people write, and am I the only one who writes better with the lights off?</p>
",26504,05-02-2017 01:49
What if the hero doesn't win?,"<p>I'm just an amateur writer.  One thing that's strange to me is that there seem to be ""rules"" about writing.  The story should consist of five parts, etc.  To my untrained writing brain this seems to stifle creativity, and enforce a science-like structure in what I thought was an art.</p>

<p>I'm thinking of breaking one of the rules.   At the end of my story, my hero just isn't strong enough to kill the villain.  He gets away unscathed, but others are in peril due to his weakness.</p>

<p>Should I absolutely not do this?  Must I adhere to the formula?  What are the consequences, if I don't?</p>
",27540,14-04-2017 15:01,Creating a story in which the hero(es) lose,"<p>So I am still in the primitive stages of creating my own world and story, if I even do it that is.  I am still trying to get a feel for where I want to go with it.  The biggest issue would be that, my world would be heavily influenced from novels like Lord of The Rings, Redwall (children's series similar to Lord of the Rings with personification of animals), Shannara series, and so on.  These are stories I grew up with and loved.  This would also mean that, my story would be very cookie cutter fantasy.  You can apply various elements from across literature works, but they will have a familiar feel due to the fact that the story wouldn't be ""original"" as the influence would be pretty evident.  </p>

<p>1) Would having a cookie cutter story be okay?  We see this recipe often repeated in anime where the story has a similar feel and an expected outcome with similar character personalities.  It seems to work in anime as many of these shows are popular.</p>

<p>2) Because stories and books for that matter seem to be on the decline as more and more visual media becomes available, would I need surprise elements or twists that are otherwise unexpected from the said genre in hopes that the story would be read and not passed over as ""another one of these""?</p>

<p>3) Would creating a story that ends with the enemy winning be something interesting to others?  Let's face it, if a more realistic version of LOTR was created, chances are, middle earth would be ruled by Sauron right now.  I for one, would love to read a follow up novel about a world ruled by orcs.  Would a story that ended with the ""bad side"" winning be a desirable fresh outcome that people would read?  The anime Attack on Titan is heavily popular.  This story is depressing, hopeless, many main characters die, and humanity is losing the fight.</p>

<p>I hope these questions are not too opinion based as I am more interested to see if such a world would be desirable by an audience.  What literature works would fall into a dark fantasy?  Game of Thrones would be the closest body of work, however it still isn't quite the tone I am looking for.  Would this be too niche?</p>

<p>I wonder if I would alienate the fantasy reader because it would be a different expected outcome.  Take Star Wars for example.  I personally was kind of put off with Rogue One for deviating too far from the Star Wars theme and plot.  Many people do not feel this way, but I personally did.</p>

<p><strong>EDIT:</strong> ""If you yourself aren't going to buy into the world you're creating, you can cast-iron guarantee no-one else will.""  Let me clarify something that I have been seeing popping up in responses.  It isn't that I am not passionate enough about my idea or that I am not 100% sold on the idea, it's that I am writing for others and not myself.  You can be 100% passionate about the earth being flat and you believe it to your core, but that doesn't mean I am going to listen to you just because you are passionate.</p>

<p>I just wanted to say WOW.  The feedback and offering of help and good research materials (books to read) has been more than I ever hoped to have received.  I really appreciate everyone's positive critique that gave me a TON of thoughts to ponder over.  It probably is pretty evident that this is my first attempt at writing a non academic piece of work so that is also why I am a bit nervous/hesitant.  So thank you to everyone who offered advice and will provide any future insight after this edit.  It is greatly appreciated and it gives me more confidence that I should further pursue this.</p>
",26282,25-01-2017 20:18
How to kill a writer's block?,"<p>It's been a year now since I have this. I can't write and think. Any suggestions, advice and tips?</p>
",28275,25-05-2017 08:18,Help! I've got Writer's Block,"<p>I really want to write, but as soon as I sit down and set pen to paper, my mind goes blank.</p>

<p>I can't think of anything to write. Sometimes I stare at my screen for hours; doesn't help. </p>

<p>If I <em>do</em> think of something, it feels stupid, it won't work, it's cliche, etc. Can someone tell me what to do? Am I too anxious, have too high expectations, or trying to think too hard? I simply cannot write.</p>

<p>How do I get over this? Have other people coped with this problem successfully? How?</p>
",2100,21-03-2011 14:54
What to do if the chapter is too short and needs something but it just seems to stop?,"<p>I have a few chapters in the novel I'm writing, and it seems that they just end randomly. I feel there needs to be more to the story, but I either ran out of ideas or it really doesn't need anything. But the fact of the matter is, that the empty pages are really adding to my ""book stress"".</p>

<p>Does anyone have any good suggestions of how to fix this?</p>
",28428,02-06-2017 16:03,When should a chapter end?,"<p>When writing a novel, when should I end a chapter?</p>

<p>Note that I'm not talking about chapter word-count (that topic was discussed <a href=""https://writers.stackexchange.com/questions/41/what-is-a-normal-length-for-a-chapter"">here</a>). I'm interested to know when should I end my chapters conceptually.</p>

<p>Is there a rule of thumb? Examples will be appreciated.</p>
",1806,28-02-2011 14:25
Is it worth switching to Dvorak if I already type fast?,"<p>I am currently learning Dvorak, and I wonder if it's worth it to switch. This question has been asked before, but the criteria were different. In those questions people said they went from 50 to 60 WPM, but when using Qwerty I already reach ~95 WPM, and not with touch typing either (I have never had any typing courses), I use the hybrid method <a href=""https://en.wikipedia.org/wiki/Typing"" rel=""nofollow noreferrer"">See Wikipedia</a>. And after long typing ""sessions"" my wrists never hurt.</p>

<p>People who have switched to Dvorak, have you lost any typing speed or have you even topped your (possibly) already very fast speed? Because I want to switch to Dvorak so I won't develop RSI later in life (plan to do a lot more typing) but if that could mean I'd type a lot slower, I'm not sure if it'd be worth it when there are ways to treat RSI, </p>
",28487,05-06-2017 14:06,Is it worth switching to Dvorak?,"<p>I've occasionally thought about trying the Dvorak keyboard layout to improve my writing speed.  However, I wonder if the speed gain is really worth the initial learning curve.</p>

<p>I'm curious if anyone knows of studies that tested people switching from Querty to Dvorak.  Specifically, how long does it take the average person to recover their previous speed, and how much does their speed improve overall?</p>

<p>I would also be interested in any anecdotal evidence by those who have made the switch (or attempted it and reverted back to Querty).  </p>
",1093,13-01-2011 02:23
