Sentence1,Sentence2,Gold Label,is_sts
What does it mean to have a low quantitative but very high verbal/writing GRE for stats PhD application?,Is a general GRE score of X sufficient for entry to postgraduate degree Y?,1,0
How can a demoralized research student restore the passion for research?,How should I deal with becoming discouraged as a graduate student?,1,0
Which is a better choice in case of a graduate admission?,What would be the possible consequence of concealing an incomplete degree?,0,0
Can I say I'm undecided yet in my statement of purpose ? (PhD in math),Does one need a specific field in mind to apply to a PhD program in mathematics?,0,0
How can I complete the prerequisites for MS in Computer Science? 2019 application,How can I complete the prerequisites for Masters in Computer Science on my own?,1,0
Will low grades for a minor on my trascript affect my chances of getting into grad school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
How do I cite a source from a another source?,Should I cite a paper that I haven't read if I use a theorem in it?,1,0
Resume Question: How do you put mastering out of PhD on resume?,Terminating with Master's after several years in a PhD program. How to indicate on CV/Resume?,1,0
What can I do if the reviewers' comments on my manuscript are not correct?,"Referee says the proof is wrong, but it is not, what to do?",0,0
Submit the same paper to several journals/conferences,Why should the scientific community avoid double submissions?,0,0
Can more than one person share PhD thesis?,Is it possible to submit a PhD thesis with two authors?,0,0
How should I address my mediocre (at best) GPA in my Statement of Purpose [applying for MS in Engineering]?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
APA reference for uppercase word in title of book,"How to handle capitalized abbreviations in Book, Anthology, Journal, etc. titles in APA?",0,0
What does EE processing in peer review process mean?,What does the typical workflow of a journal look like?,1,0
PhD university ranking when going for post doc/ jobs,University rank/stature - How much does it affect one's career post-Ph.D?,0,0
How to check if a person is a real DSc?,How can I find out if someone really holds a doctoral degree?,1,0
How to know if my research problem is interesting or not?,How to choose a good research problem?,1,0
Submit to arxiv prior to a conference or journal,What license to use while putting papers on the Arxiv?,0,0
"When citing a foreign-language article, do I need to translate the journal name?",How to cite sources written in a different language than English?,1,0
Ws on transcript affecting admission to engineering masters?,How can I make up for weak grades while applying for a masters?,0,0
Is it normal for referees on a paper see to the names of other referees?,"Are reviewers supposed to know each others' identity, after the reviewing process is finished?",1,0
Can a professor take a full-time 12 months industry job (get fully paid) while on one-year sabbatical?,Is it possible to work full time in an industry position while on sabbatical?,1,0
Does a PhD thesis have to be theoretical?,May a PhD be more practical than theoretical?,1,0
Should we chair a session in which we present?,Assigning presenters the role of a session chair without prior notice,1,0
"Giving a test lecture, what should I keep in mind?",Things to focus on in a model lesson,1,0
Do I have to mention the name of the answer holder within my program?,"When should I cite, if using code from Stack Overflow?",0,0
Do private religious institutions ever consider hiring someone clearly not affiliated with said religion for a faculty position?,Are employments in universities affiliated (or named) with a specific religion restricted to people with the same religion?,1,0
Applied math PhD programs - no. of courses to counterbalance low GPA?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
What should I write in a personal history statement (diversity statement) if I am not at all diverse?,What should go in a diversity statement if I believe I have had no relevant experiences?,1,0
How to handle unprofessional negative reviews from a journal?,Should I respond to editors about unprofessional review?,1,0
Thesis adviser is demanding i hand over all my work,How to deal with supervisor who required me to share all my work with him?,1,0
How to reconcile interest in two (somewhat related) disciplines,How to do research in two very different fields?,1,0
What tools do you use to manage writing co-authored papers?,Simplest way to jointly write a manuscript?,0,0
Suggesting Reviewers: How to find institutional affiliations,How can I find out a researcher's current affiliation?,1,0
How to react to strongly erroneous and irrelevant citation of my article?,How to react to your work being cited incorrectly or in a misleading way?,1,0
What are the steps and resources I can use to publish a math paper?,Does one need to be affiliated with a university to publish papers?,1,0
How do I politely tell a student to take a shower?,How to approach a student with bad hygiene?,1,0
Taking an extra semester to raise GPA,One more undergraduate year for grad school?,0,0
Is Hindawi journal credible and valuable publication?,How do you judge the quality of a journal?,0,0
"What does it mean for a paper to be ""under review""",What does the typical workflow of a journal look like?,1,0
"What does ""Peer review in process"" mean in ScholarOne submission?",What does the typical workflow of a journal look like?,1,0
Diversity Statement for Faculty Position in the US?,Faculty positions: What to say in a statement on diversity?,1,0
What University Affiliation should I list on my paper?,What to list as affiliation when work spans multiple institutions?,1,0
What is a recommended strategy on exercises in a mathematical textbook at graduate level?,Is solving all of the exercises in a textbook a good idea?,1,0
"My accepted paper now appears as ""under review"" - could it still be rejected?",What does the typical workflow of a journal look like?,0,0
Can I still publish a paper in a journal after it has already been assigned a DOI through Zenodo or ResearchGate?,Does an unpublished document you upload to ResearchGate count as prior publication when submitting to a journal?,0,0
Poor grades in courses related to my PhD thesis. Is that an indication to my research and future academic career potential?,Are unimpressive grades in core courses an indication of not being competent for a career in the field?,1,0
Should I include reference section on a conference poster?,Should we put the references in slides/poster when we already have them in paper?,0,0
"Manuscript status ""Submitted to Journal"" over a week in an Elsevier Journal",Paper with editor for longer than two and a half months,0,0
New name of a paper doesn't show up in Google,Do all versions of an arXiv paper appear in Google Scholar?,1,0
What's the best time to email Korean professors for master for better response,"Prospective PhD contacts potential supervisor but receives no answer after 2-3 emails, what to do?",0,0
All three of my professors asked me to write the first draft of my Letter of Recommendation.,Is it acceptable to write a reference letter for yourself?,1,0
Why are authors not made anonymous during the review process?,Why don't all disciplines follow a double-blind review system?,1,0
How to reject a PhD Scholarship offer after accepting it?,Rejecting a PhD offer after having accepted it. Advice?,1,0
In a limbo stage in PhD. How to get out of it?,How should I deal with becoming discouraged as a graduate student?,1,0
Writing a reviewed article in resume/ Statement of purpose,"Cite articles ""in preparation"" or conference presentations in post-doc/junior positions grant application",0,0
Is it possible to apply graduate program in a different major?,Graduate school admission with a degree in a different field,1,0
TA struggling with how much time grading takes,What are some ways to increase grading speed?,0,0
How to tell to my advisor that I want a co-advisor?,How to ask for a co-supervisor? (master's program etiquette),1,0
Can I cite email communication in my thesis/paper?,"Do I need to request permission to cite a ""personal communication"" in a publication?",1,0
Double PhD: is it really worth it?,Is doing two PhDs a good path?,0,0
Is it rude to remind an editor about a manuscript submission still waiting for an invitee after 2 months?,Is it okay to inquire about the status of a paper when the online submission system shows no update three months after submission?,1,0
Would my paper be published if I missed the conference due to visa-related problems?,What to do if I can't get a visa to attend a conference that accepted my paper?,1,0
Can I get a Master's degree without a Bachelor's?,Is it possible to obtain a Master's degree without Bachelor's degree?,1,0
At what stage of computer science PhD should you start looking for post-doc?,How long before PhD graduation should I start applying for post-doc positions?,1,0
Bachelors in computer science and wanting a masters?,Graduate school admission with a degree in a different field,1,0
Will one flawed grade outside of my major from my freshman year affect graduate school?,Does a bad grade in one course (with otherwise OK record) affect graduate admissions?,1,0
How to spot problematic pictures in a publication?,How can editors and reviewers detect data manipulation?,0,0
Young engineer not wanting to work in academia: is PhD worth it?,Is PhD worth it when considering your career in industry,1,0
"Applying to summer research project, should I tell prof about mental health issues to explain poor grades last year?","Applying to grad school for mathematics with low GPA, but reluctant to bring up the health issues that caused it",1,0
Letter of recommendation from a deceased advisor,Is it ethical to use a recommendation letter from a deceased professor?,1,0
Under what circumstances would a University revoke a student's degree?,Can a university retract a degree for actions taken after the degree is awarded?,0,0
Why are some journals prestigious and others aren't?,How and why did the top journals become top journals?,1,0
What is the Minimum GPA for admission in a graduate school in a respectable science university in the US?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
Is deferred enrollment normal or acceptable to graduate programs? What are the acceptable reasons for it?,Why would a grad school not want me to defer admission?,0,0
Paper under review in a reputed Math journal for 7 months,Average time alloted for manuscript review across disciplines,1,0
Is it commonplace for students to feel anxious about graduation?,How should I deal with becoming discouraged as a graduate student?,0,0
Is it normal/advised to finish your masters to get a better PhD offer?,Apply for PhD before finishing my Master's degree,0,0
How many credit hours of mathematics does an average successful student take before applying to graduate school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
Former MD/PhD student looking to apply again to MD or MD/PhD,Dismissed from PhD due to disability-related misconduct: how to answer question about dismissal?,0,0
"Coming from a ""No Name"" University outside the US, what are my chances for admission","How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",1,0
Is it self-plagiarism to copy & paste from my own published paper to my grant application?,Re-using text from a grant proposal in a paper (or vice versa),1,0
Write 'According to Wikipedia' in a PhD thesis,Are there instances where citing Wikipedia is allowed?,0,0
Question regarding the review process in IEEE Transactions on Multimedia,What does the typical workflow of a journal look like?,0,0
"How to submit an article (for example, on arXiv) without being affiliated to any institution?",Does one need to be affiliated with a university to publish papers?,1,0
How can I prove my proficiency in a math subject that I've learned on my own after I graduated?,How to make sure graduate admissions committees are able to recognize/verify the material a student has self studied,1,0
Is it unethical to hire a paper writer AFTER the assignment is done?,Is it considered cheating if I purchase an essay but then don't use it?,1,0
Which is more important for phd? university or supervisor?,"What's more important in choosing a PhD program, advisor or institution?",1,0
Should I inform the people that I acknowledged in PhD thesis?,Should I notify people I mention in the acknowledgements section?,1,0
When is it acceptable to report classmates who cheat on an exam?,Is it okay to report classmates cheating on exams?,1,0
How to effectively write a paper of N>2 co-authors?,Simplest way to jointly write a manuscript?,1,0
Is it important to include my supervisor name in research paper,When should a supervisor be an author?,0,0
Manuscript status shows 'With Editor' after only 4 days in peer review,What does the typical workflow of a journal look like?,0,0
My professor is using questions from other colleges for an assignment. Is this plagiarism?,Is it considered plagiarism for a professor to use uncited sources in teaching materials?,1,0
Is it possible to get a PhD position in the USA without applying to a PhD program?,Can a professor influence the graduate admissions committee if he or she is interested in a particular student?,1,0
How to get external travel funding for AI conference?,Travel grant for undergraduate researcher for attending conference,0,0
Counting the the number of publications citing all of a given set of publications,How to identify the publications that cite two specific papers?,1,0
What is the general consensus about World Scientific journals?,How do you judge the quality of a journal?,0,0
Preprint on CV - should I include journal I submitted to?,"Indicate Journal name for ""under review"" and ""accepted/in press"" publications on CV",1,0
How do I explain my poor grade to a grad school committee?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
Accepting a tenure track position if I know I won’t stay till tenure,Should I apply to tenure-track positions if I'm fairly certain I won't be staying?,1,0
What do I put for my affiliation on a paper when I have none,"What to put in ""affiliation"" field when submitting paper without affiliation?",1,0
"I don't want to disclose ""other schools"" in my application","PhD application asking what other insitution I am applying to, how to answer?",1,0
Poor Master's grade but demonstrably passionate about the field- do I stand a chance of getting a funded PhD place?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?",0,0
Is providing funding enough reason to be a corresponding author?,What are the minimum contributions required for co-authorship,0,0
"What does ""awaiting EIC decision"" mean when it occurs immediately after ""awaiting reviewer selection""?",What does the typical workflow of a journal look like?,1,0
A reviewer has stolen my idea – what can I do?,What to do if a referee plagiarises the result after rejecting a paper?,0,0
Will university admissions google the academics who write my references?,Is it okay to have a good (not strong) recommendation letter from a well-known scientist?,0,0
How do I ask a professor at a different department whether I can attend his classes?,How should I phrase an important question that I need to ask a professor?,1,0
"Plural-active, singular-active or another voice when writing a paper by yourself?",Choice of personal pronoun in single-author papers,0,0
Journal Editor does not respond about status of paper ~1 year,Slow Response from Journal: Should I withdraw a paper?,0,0
Should sources helping me understand concepts but not crucial to reconstruct my work be cited?,Do I cite introductory material in a subject that helped me indirectly?,0,0
Submitting short version of an under review journal article in conference,Publishing a conference version of a journal paper at the same time ? (copyright issues),1,0
"After submitting a revised manuscript (moderate revision was requested), what are the steps followed?",What does the typical workflow of a journal look like?,1,0
Awaiting recommendation will take how long time?,What does the typical workflow of a journal look like?,0,0
What's the reasoning behind GRE scoring scale?,Why do some tests have a (nonzero) minimum score?,0,0
How much will a bad grade in a relevant Master's class hurt my chances for a statistics PhD?,Does a bad grade in one course (with otherwise OK record) affect graduate admissions?,1,0
"Can I claim to have completed my degree on my résumé, prior to convocating and receiving the physical diploma?",How do I express a degree on my CV that I have completed but have not been awarded?,1,0
How should I handle a paper with incorrect experimental results?,Can I challenge a paper already published in a peer reviewed conference/journal?,1,0
