Sentence1,Sentence2,Gold Label
"Amrozi accused his brother, whom he called ""the witness"", of deliberately distorting his evidence.","Amrozi accused his brother , whom he called `` the witness '' , of on purpose distorting his evidence .",1
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,Revenue in the firstly quarter of the year dropped 15 percent from the same period a year earlier .,1
"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The Nasdaq had a every week gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .",1
He said the foodservice pie business doesn't fit the company's long-term growth strategy.,He said the foodservice pie business does n't fit the company 's long term growth strategy .,1
"Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.","Shares of Genentech , a very much larger company with respective products on the market , rose more than 2 percent .",1
Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.,Legislation making it harder for consumers to erase their debts in bankruptcy court won overtake House approval in March .,1
"The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.","The Nasdaq complex index increased 10.73 , or 0.7 percent , to 1,514.77 .",1
But he added group performance would improve in the second half of the year and beyond.,But he added group performance would improve in the instant half of the year and beyond .,1
He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,He told The Sun newspaper that Mr. Hussein 's daughters had british schools and hospitals in mind when they decided to ask for asylum .,1
"Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.","Gyorgy Heizler , head of the local anaesthetic disaster unit , said the coach was carrying 38 passengers .",1
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.,Rudder was most latterly aged vice president for the Developer & Platform Evangelism Business .,1
"As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.","deoxyadenosine monophosphate considerably as the dolphinfish scheme , the chaos has allowed strange companies to engage in damaging logging and fishing operations without right monitoring or export controls .",1
Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.,Magnarelli said Racicot hated the Iraqi regime and looked forth to using his foresighted years of training in the war .,1
"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.","Sheena Young of Child , the interior infertility support network , hoped the guidelines would lead to a more `` clean and just '' service for infertility sufferers .",1
"""I think you'll see a lot of job growth in the next two years,"" he said, adding the growth could replace jobs lost.","`` I think you 'll see a lot of job growth in the future two years , '' he said , adding the growth could replace jobs lost .",1
"The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.","The newfangled Finder puts a user 's folders , laborious drive , network servers , iDisk and obliterable media in one location , providing one-click access .",1
"But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.","But tropic storm warnings and watches were posted today for Haiti , westerly portions of the Dominican Republic , the southeasterly Bahamas and the Turk and Caicos islands .",1
A federal magistrate in Fort Lauderdale ordered him held without bail.,A fed magistrate in Fort Lauderdale ordered him held without bail .,1
A BMI of 25 or above is considered overweight; 30 or above is considered obese.,A BMI of 25 or above is considered fleshy ; 30 or above is considered corpulent .,1
"The dollar was at 116.92 yen against the yen , flat on the session, and at 1.2891 against the Swiss franc , also flat.","The dollar was at 116.92 yen against the yen , apartment on the session , and at 1.2891 against the swiss franc , too flavourless .",1
"Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.","Six months agone , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .",1
"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","inhibit children tend to be unsure with young people , objects , and situations , while uninhibited children ad libitum approach them .",1
"The broad Standard & Poor's 500 <.SPX> fell 10.75 points, or 1.02 percent, to 1,039.32.","The encompassing Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .",1
"Duque will return to Earth Oct. 27 with the station's current crew, U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko.","Duque will return to Earth Oct. 27 with the station 's flow crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .",1
"Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Singapore is already the United States ' 12th-largest trading partner , with two way trade totaling more than $ 34 billion .",1
No dates have been set for the civil or the criminal trial.,No dates have been set for the polite or the deplorable trial .,1
"The largest gains were seen in prices, new orders, inventories and exports.","The largest gains were seen in prices , modern orders , inventories and exports .",1
"He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.","He plans to have dinner with troops at Kosovo 's U.S. armed services headquarters , Camp Bondsteel .",1
"Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.","in conclusion year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are built in if they provide parents a choice of spiritual and lay schools .",1
"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.","Sorkin , who faces charges of conspiracy to obstruct justice and lying to a high flown jury , was to have been tried individually .",1
"The commission must work out the plan's details, but the average residential customer paying $840 a year would get a savings of about $30 annually.","The commission must work out the plan 's details , but the medium residential customer paying $ 840 a year would get a savings of about $ 30 every year .",1
