Sentence1,Sentence2
,
What does it mean to have a low quantitative but very high verbal/writing GRE for stats PhD application?,Is a general GRE score of X sufficient for entry to postgraduate degree Y?
,
How can a demoralized research student restore the passion for research?,How should I deal with becoming discouraged as a graduate student?
,
"I submitted a paper to a journal one week ago. What does ""Awaiting ME Processing"" mean?",What does the typical workflow of a journal look like?
,
Chances of Getting into Neuroscience PhD program,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Which is a better choice in case of a graduate admission?,What would be the possible consequence of concealing an incomplete degree?
,
Getting into grad school with a bad record.,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Advice on applying for Economics graduate programs with a low GRE,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Can I say I'm undecided yet in my statement of purpose ? (PhD in math),Does one need a specific field in mind to apply to a PhD program in mathematics?
,
How can I complete the prerequisites for MS in Computer Science? 2019 application,How can I complete the prerequisites for Masters in Computer Science on my own?
,
Will low grades for a minor on my trascript affect my chances of getting into grad school?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
How do I cite a source from a another source?,Should I cite a paper that I haven't read if I use a theorem in it?
,
"If you have a few meetings with a professor to discuss a paper, but they do not do any actual writing, is this sufficient to justify authorship?",What are the minimum contributions required for co-authorship
,
Do you know about status date changes in Elsevier editorial,"What can cause the date of submission status to change without a change of status ""under review"" for Elsevier editorial systems?"
,
Resume Question: How do you put mastering out of PhD on resume?,Terminating with Master's after several years in a PhD program. How to indicate on CV/Resume?
,
What can I do if the reviewers' comments on my manuscript are not correct?,"Referee says the proof is wrong, but it is not, what to do?"
,
Submit the same paper to several journals/conferences,Why should the scientific community avoid double submissions?
,
Can more than one person share PhD thesis?,Is it possible to submit a PhD thesis with two authors?
,
How should I address my mediocre (at best) GPA in my Statement of Purpose [applying for MS in Engineering]?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
APA reference for uppercase word in title of book,"How to handle capitalized abbreviations in Book, Anthology, Journal, etc. titles in APA?"
,
What does EE processing in peer review process mean?,What does the typical workflow of a journal look like?
,
PhD university ranking when going for post doc/ jobs,University rank/stature - How much does it affect one's career post-Ph.D?
,
Should I withdraw my paper from a journal which even didn't give me the manuscript number after one week?,What does the typical workflow of a journal look like?
,
Should I send this e-mail to my instructor who is also my supervisor?,How to make a complaint about grades?
,
How to check if a person is a real DSc?,How can I find out if someone really holds a doctoral degree?
,
How to know if my research problem is interesting or not?,How to choose a good research problem?
,
Submit to arxiv prior to a conference or journal,What license to use while putting papers on the Arxiv?
,
Is auditing graduate physics courses (officially or unoffically) a viable way to eventually get into a PhD program?,What effects (if any) do audited undergraduate courses have on graduate admissions?
,
"When citing a foreign-language article, do I need to translate the journal name?",How to cite sources written in a different language than English?
,
Ws on transcript affecting admission to engineering masters?,How can I make up for weak grades while applying for a masters?
,
Is it normal for referees on a paper see to the names of other referees?,"Are reviewers supposed to know each others' identity, after the reviewing process is finished?"
,
Can a professor take a full-time 12 months industry job (get fully paid) while on one-year sabbatical?,Is it possible to work full time in an industry position while on sabbatical?
,
What is the difference between an academic CV in the US and an academic CV in France?,"Why is personal information (DOB, marital status) listed on CVs in Europe and can it be omitted?"
,
Does a PhD thesis have to be theoretical?,May a PhD be more practical than theoretical?
,
Should we chair a session in which we present?,Assigning presenters the role of a session chair without prior notice
,
My professor who doesn't let me use my phone to read the textbook online in while I'm in class. What should I do?,How to handle lecturer who doesn't let me use my phone?
,
"Giving a test lecture, what should I keep in mind?",Things to focus on in a model lesson
,
Do I have to mention the name of the answer holder within my program?,"When should I cite, if using code from Stack Overflow?"
,
How GRE score affect your acceptance rate,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
Do private religious institutions ever consider hiring someone clearly not affiliated with said religion for a faculty position?,Are employments in universities affiliated (or named) with a specific religion restricted to people with the same religion?
,
Applied math PhD programs - no. of courses to counterbalance low GPA?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
What should I write in a personal history statement (diversity statement) if I am not at all diverse?,What should go in a diversity statement if I believe I have had no relevant experiences?
,
How to handle unprofessional negative reviews from a journal?,Should I respond to editors about unprofessional review?
,
"Applying for a different PhD, should I say I am already in one?",Is it a plus point for my PhD application to mention that I am already a PhD candidate at some other university?
,
Thesis adviser is demanding i hand over all my work,How to deal with supervisor who required me to share all my work with him?
,
How to reconcile interest in two (somewhat related) disciplines,How to do research in two very different fields?
,
What tools do you use to manage writing co-authored papers?,Simplest way to jointly write a manuscript?
,
Whats the average salary (inclusively) in china? How expensive it is for a single postdoctoral life?,What is the average postdoctoral salary in China?
,
Suggesting Reviewers: How to find institutional affiliations,How can I find out a researcher's current affiliation?
,
When should I get business cards and how much do they actually matter as a graduate student who has not yet built up their CV?,Is a business card necessary for a graduate student?
,
"""Sorry to bother you"" in an email?",How should I phrase an important question that I need to ask a professor?
,
Can a (stapler) PhD thesis comprise multiple unrelated papers?,"Has a ""portfolio"" of orthogonal projects ever been acceptable for a PhD thesis, instead of a single large project?"
,
How to react to strongly erroneous and irrelevant citation of my article?,How to react to your work being cited incorrectly or in a misleading way?
,
What are the steps and resources I can use to publish a math paper?,Does one need to be affiliated with a university to publish papers?
,
How do I politely tell a student to take a shower?,How to approach a student with bad hygiene?
,
Taking an extra semester to raise GPA,One more undergraduate year for grad school?
,
When can I know the updated status from reviewer or editor after i submit a revised manuscript to that publisher?,What does the typical workflow of a journal look like?
,
Is Hindawi journal credible and valuable publication?,How do you judge the quality of a journal?
,
"What does it mean for a paper to be ""under review""",What does the typical workflow of a journal look like?
,
"What does ""Peer review in process"" mean in ScholarOne submission?",What does the typical workflow of a journal look like?
,
Diversity Statement for Faculty Position in the US?,Faculty positions: What to say in a statement on diversity?
,
"How do I respond to ""how do you like your program"" if I completely hate it?",I am a PhD student and hate it here. How can I warn prospective students during admit weekend without ruining my reputation?
,
IEEE rejects my paper saying that it is plagiarised,Why are journals telling me that my article is plagiarized even though I wrote it by myself?
,
Does telling students to take notes in high school really help them learn better?,Is there evidence that suggests students should take notes?
,
What University Affiliation should I list on my paper?,What to list as affiliation when work spans multiple institutions?
,
Old supervisor not responding to email for reference,How to proceed if a professor does not answer the request for letter of recommendation?
,
What is a recommended strategy on exercises in a mathematical textbook at graduate level?,Is solving all of the exercises in a textbook a good idea?
,
Would it be inappropriate to cite wikipedia for something trivial in an academic article?,Are there instances where citing Wikipedia is allowed?
,
"My accepted paper now appears as ""under review"" - could it still be rejected?",What does the typical workflow of a journal look like?
,
Can I still publish a paper in a journal after it has already been assigned a DOI through Zenodo or ResearchGate?,Does an unpublished document you upload to ResearchGate count as prior publication when submitting to a journal?
,
Is it disadvantageous to have recommendation letters from postdoctoral fellows rather than professors?,Letter of recommendation from Post-Doc or Professor
,
What to expect when pursuing a second doctorate in an unrelated field,Is doing two PhDs a good path?
,
Acceptability of 'not possible' for master thesis research,What to do when you spend several months working on an idea that fails in a masters thesis?
,
My dissertation is linked to arXiv but its citations are not found in Google Scholar!,Published paper not showing up on google scholar
,
How to cite a work in a manuscript that is under review?,How to submit two separate works simultaneously to two conferences when the works are similar in a few parts?
,
Racial Classification in US College Admissions Process,Do US universities publish an official definition of what constitutes a particular race/ethnicity in the context of scholarships or admissions?
,
Is it possible to do two PhD's in the same field one after another?,Is doing two PhDs a good path?
,
Why is the citation system so archaic?,Does anyone still care about the name and address of a publisher?
,
Poor grades in courses related to my PhD thesis. Is that an indication to my research and future academic career potential?,Are unimpressive grades in core courses an indication of not being competent for a career in the field?
,
Should I include reference section on a conference poster?,Should we put the references in slides/poster when we already have them in paper?
,
Why do some papers have 10-20 co-authors?,What is the point of listing 1000 authors for a single scientific paper?
,
"Manuscript status ""Submitted to Journal"" over a week in an Elsevier Journal",Paper with editor for longer than two and a half months
,
New name of a paper doesn't show up in Google,Do all versions of an arXiv paper appear in Google Scholar?
,
Should I ask potential recommenders whether they know someone?,Is it appropriate to ask professors at which schools their recommendation letters have more power?
,
What's the best time to email Korean professors for master for better response,"Prospective PhD contacts potential supervisor but receives no answer after 2-3 emails, what to do?"
,
All three of my professors asked me to write the first draft of my Letter of Recommendation.,Is it acceptable to write a reference letter for yourself?
,
Why are authors not made anonymous during the review process?,Why don't all disciplines follow a double-blind review system?
,
How to reject a PhD Scholarship offer after accepting it?,Rejecting a PhD offer after having accepted it. Advice?
,
In a limbo stage in PhD. How to get out of it?,How should I deal with becoming discouraged as a graduate student?
,
"Is it a must to write a paper in passive third person, for all types of papers in all journals?",Using first person or third person in papers?
,
Writing a reviewed article in resume/ Statement of purpose,"Cite articles ""in preparation"" or conference presentations in post-doc/junior positions grant application"
,
Applying for phd with flunked course in master,Does a bad grade in one course (with otherwise OK record) affect graduate admissions?
,
Is it possible to apply graduate program in a different major?,Graduate school admission with a degree in a different field
,
TA struggling with how much time grading takes,What are some ways to increase grading speed?
,
Protecting unpublished or under review papers from theft,How can an author get assurance that his work will not be stolen by journal staff or reviewers?
,
How to tell to my advisor that I want a co-advisor?,How to ask for a co-supervisor? (master's program etiquette)
,
"PhD. in the US directly after European BSc., or is it better to go for a MSc. at first?",PhD in the US compared to Europe
,
Is studying past exams I found online cheating?,"Is it ethical to use past years' final exams that the professor hasn't explicitly given, to study for a final in the same class?"
,
Can I cite email communication in my thesis/paper?,"Do I need to request permission to cite a ""personal communication"" in a publication?"
,
Double PhD: is it really worth it?,Is doing two PhDs a good path?
,
