,Sentence1,Sentence2,Gold Label,is_sts
0,Astrology: I'm a Capricorn Sun Cap moon and a rising cap ... what does that say about me?,Astrology: I am Capricorn Sun Cap moon and cap rising ... what does that say about me?,1,No
1,How can I be a good geologist?,How can I be a good geologist?,1,No
2,How do I read and find my YouTube comments?,How do I read and get my YouTube ideas?,1,No
3,What can facilitate the learning of physics?,What can make physics easy to learn?,1,No
4,What was your first sex experience?,What was your first sexual experience like?,1,No
5,What does the Trump administration mean to current international students of the F1 genre?,What does President Trump mean for world-class students on F1 visas?,1,No
6,What does manipulation mean?,What does manipulation mean?,1,No
7,Why do so many Quora users post easy-to-answer questions on Google?,Why do so many Quora users post easy-to-answer questions on Google?,1,No
8,Why does the rocket look white?,Why do rockets look white?,1,No
9,How to prepare for the latest California law?,How should I prepare for the final team in CA?,1,No
10,What are some special treatments for someone with a runny nose that gets worse at night?,What are some special precautions for a person whose nose becomes tight at night?,1,No
11,Which of the Game of Thrones villains is likely to be kind to you?,Which game of Star Wars would most likely have you pity?,1,No
12,How to prepare for UPSC?,How do we prepare for UPSC?,1,No
13,What are some examples of products that can be made from crude oil?,What are some examples of products that can be made from crude oil?,1,No
14,Is a career good for preparing for RBI Class B?,Is a career launcher useful for preparing for an RBI B degree?,1,No
15,"Will a Blu Ray play on a regular DVD player? If so, how?","Will Blu Ray work on a regular DVD player? If so, how?",1,No
16,What's the best / most memorable thing you've ever eaten and why?,What is the best / most memorable thing you have ever eaten and why?,1,No
17,"I suddenly left Gmail. I can't remember my Gmail password, and just realized that the recovery email is gone. What can I do?",I was suddenly removed from Gmail. I don't remember the Gmail password and just realized that the recovery email is no longer alive. What can I do?,1,No
18,How about the new Harry Potter book 'Harry Potter and the Cursed Child'?,"What about Harry Potter's new book, Harry Potter and the Cursed Child?",1,No
19,What is Java programming? How to learn Java programming language?,What is the Java program? How to learn Java programming language?,1,No
20,What Is The Best Book Ever Made?,What is the best book ever made?,1,No
21,Can we save energy from lightning?,Can we ever store the energy produced in electricity?,1,No
22,What is the problem with drug addiction?,What is an alcoholic personality disorder?,1,No
23,How can I speak English fluently?,How can I speak English fluently?,1,No
24,How useful is the QuickBooks automatic data recovery support phone number to recover your corrupted data files?,How useful is the QuickBooks automatic data recovery support phone number to recover corrupted data files?,1,No
25,Who is the richest gambler of all time and how can I get to his level?,"I shall be able to attain to the highest rank of that gambler, and all that?",1,No
26,What is the purpose of life?,What is the purpose of life?,1,No
27,What are some of the high income jobs working in the biotechnology field?,What are some of the high-income jobs in the field of biotechnology?,1,No
28,How can I increase the height after 21 as well?,How can I increase my height after 21 too?,1,No
29,"What are the main effects of the Cambodia earthquake, and how do the effects compare with the Kamchatka earthquake in 1952?","What are the main effects of the earthquake in Cambodia, and how do these compare to the 1952 earthquake in Kamchatca?",1,No
30,Which is the best gaming laptop under 60K INR?,What is the best gaming laptop under 60k INR?,1,No
31,What are the best romantic movies in English?,What are some beautiful love movies in English?,1,No
32,What causes a nightmare?,What causes a nightmare?,1,No
33,Will there really be any war between India and Pakistan over the hanging attack? What are its effects?,Is there a real war between India and Pakistan over the Uri invasion? What are the consequences?,1,No
34,Can I recover my email if I forgot my password?,Can I recover my email if I forget my password?,1,No
35,What is the difference between love and pity?,What is the difference between love and pity?,1,No
36,What do you think of Chinese food?,What do you think about Chinese food?,1,No
37,Why was my question marked as needing improvement?,Why is my question that I need to improve marked?,1,No
38,Which mineral has the highest electrical charge?,Which mineral has the highest electric charge?,1,No
39,"Why is China blocking UN sanctions against the head of Jaish-Muhammad (JeM), Massoud Azhar?",Why would China impose sanctions on the UN against Jaish-e-Mohammed (JM) chief Masood Azar?,1,No
40,Can Excessive Vitamin C Cause Pregnancy?,Can Too Much Vitamin C Cause Pregnancy?,1,No
41,Who are the Rohingya Muslims?,Who are the Rohingya Muslims?,1,No
42,Does it matter if humans are selfish or evil?,Does it matter if people are selfish or evil?,1,No
43,Does a black hole have mass?,Does a black hole have mass?,1,No
44,Is Morgan Freeman right when he says that the only way to stop racism is to stop talking about it?,Is Morgan Freeman correct when he says the only way to stop racism is to stop talking about it?,1,No
45,Why does Red keep the keys in the OITNB?,Why does Red keep the keys in the OITNB?,1,No
46,"If I'm not monetizing YouTube videos and uploading copyrighted content, is there a chance Google could block my account?","If I do not make money from YouTube videos and upload copyrighted content, is it possible that Google will block my account?",1,No
47,What does the Quora website look like for Quora moderation members?,What do Quora reviewers think of Quora website?,1,No
48,Why doesn't anyone at Quora answer my questions?,Why isn't anyone answering Quorum for me?,1,No
49,What kind of joke do you know?,What’s the funniest joke you know?,1,No
50,How do I use Twitter as a business source?,How do I use Twitter as a business resource?,1,No
51,Which is the best earbud with a deep bass below 1000?,Which is the best earphone with a bass depth of less than 1000?,1,No
52,What are the best areas of engineering?,What is the best field of engineering?,1,No
53,Does anyone see the connection between the Greek gods and the Hindu gods?,Does anyone see the connection between the Greek gods and the Hindu gods?,1,No
54,What is the best fixed income fund?,Which is the best fixed income fund?,1,No
55,What is life like in Cologne?,What is it like to live in Cologne?,1,No
56,Why do some people prefer small families?,Why do some people prefer a small family?,1,No
57,How to delete Instagram conversations?,How to delete deleted Instagram chat history?,1,No
58,What if I hired two private eyes and ordered them to follow each other?,What if I hired two personal eyes and ordered them to follow each other?,1,No
59,What is the significance of the battle of Soma? How did this battle compare to the Battle of Rostov?,What was the significance of the Battle of the Somme and how did it compare and compare with the Battle of Rostov?,1,No
60,Is it possible to follow different things in life?,Is it possible to pursue different things in life?,1,No
61,Which business is a good start in Hyderabad?,Which business is good to start in Hyderabad?,1,No
62,How do you stop having so much?,How can I stop being so possessive?,1,No
63,What is the best combination of courses I can take along with CA to enhance my career?,What is the best combination of courses along with CA to improve my career?,1,No
64,How to take a screenshot on a Mac laptop?,How do you screen a Mac laptop?,1,No
65,Must watch some TV shows before you die?,Who has to watch a TV show before you die?,1,No
66,How can I master Chinese more?,How can I do better in China?,1,No
67,What are the effects of the demonetization of the 500 and 1000 rupees banknotes on the real estate sector?,What are the repercussions of the cancellation of Rs. 500 and Rs. 1000 notes on the real estate sector?,1,No
68,What is the easiest way to become a billionaire ($)?,What is the easiest way to become a billionaire?,1,No
69,Is the neutron star made up of?,Is the neutron star made up of?,1,No
70,I got 3.8 GPA. Is it enough to go to top universities like Harvard?,I got a 3.8 GPA. Is this enough to get into top universities like Harvard?,1,No
71,What is my puk code?,What is my puk code?,1,No
72,How do I create a new shell in a new terminal using C programming (Linux terminal)?,How do I create a new shell in a new terminal using the C program (Linux terminal)?,1,No
73,How can we make the world a better place to live for future generations?,How can we make the world a better place for future generations?,1,No
74,Why do we care about the opinions of others?,Why are we worried about others' opinions?,1,No
75,How do you train a pit bull for 4 months?,How to train a pot for Pitbull in 4 months?,1,No
76,What are the signs of an ultra-smart person playing dumb?,What are the signs of an ultra smart person who does not play?,1,No
77,"If dark energy is created by expansion, can it be created infinitely?","If dark energy is created by expansion, can it be created infinitely?",1,No
78,How will the implementation of the GST bill impact the lives of ordinary people?,How will the implementation of GST bill impact the lives of common people?,1,No
79,How accurately can a mental illness be diagnosed?,How Much Can That Mental Illness Can Be Dignified?,1,No
80,Will Modi win in 2019?,Will Modi win in 2019?,1,No
81,What exactly is the “Basic Basic Initiative / Standards” and what are the pros and cons?,"What exactly is the ""Common Core Initiative / Standards"" and what are the pros and cons?",1,No
82,How do I choose a magazine to publish my paper?,How do I choose a magazine to publish my paper?,1,No
83,What are your New Year's resolutions for 2017?,What are your New Year's resolutions for 2017?,1,No
84,How many months does it take to develop Android apps from scratch?,How many months does it take to gain knowledge in developing Android apps from scratch?,1,No
85,What are the rights of a prisoner?,What are the rights of a prisoner?,1,No
86,How can I get free gems in Clash of Clans?,How can I get free gems in Clash of Clans?,1,No
87,What is the best way to get traffic on your website?,What is the best way to get traffic to your website?,1,No
88,What are some of the best films and TV shows that feature strong female protagonists?,What are some of the best movies and TV shows that feature strong female opponents?,1,No
89,How long does it take for a dead body to rise to the surface after drowning?,How long does it take for a body to float to the surface after drowning?,1,No
90,How Can I Make Money Online for Free?,How can I make money online at no cost?,1,No
91,Where can I buy the best quality customized cupcakes on the Gold Coast?,Where can I buy best quality customized cupcakes in Gold Coast?,1,No
92,What is odd even prepared?,What success did a strange couple have?,1,No
93,If there is a war between India and Pakistan who will win?,If there will be a war between India and Pakistan who will win?,1,No
94,How to deal with the fear of dying?,How do you deal with a fear of dying?,1,No
95,"Is there an end to the universe, and if not, is the universe infinite?","Is there an end to the universe, and if not, is the universe infinite?",1,No
96,How much funds should I raise?,How much money can I collect?,1,No
