	Sentence1	Sentence2	Gold Label	is_sts
0	A plane is taking off.	A plane is taking off.	5	true
1	A plane is taking off.	angstrom plane is pickings off.	4	true
2	A plane is taking off.	A plane is pickings slaying.	3	true
3	A plane is taking off.	A aeroplane is taking murder.	2	true
4	A plane is taking off.	angstrom plane beryllium taking murder.	1	true
5	A man is playing a large flute.	A man is playing a large flute.	5	true
6	A man is playing a large flute.	angstrom man is playing a large transverse flute.	4	true
7	A man is playing a large flute.	A man be acting a big flute.	3	true
8	A man is playing a large flute.	A man beryllium playing angstrom large flute.	2	true
9	A man is playing a large flute.	angstrom adult male be playing a big flute.	1	true
10	A man is spreading shreded cheese on a pizza.	A man is spreading shreded cheese on a pizza.	5	true
11	A man is spreading shreded cheese on a pizza.	angstrom man is spreading shreded cheese on angstrom pizza.	4	true
12	A man is spreading shreded cheese on a pizza.	A man be spread shreded cheese on angstrom pizza.	3	true
13	A man is spreading shreded cheese on a pizza.	A adult male is spreading shreded cheese on angstrom pizza pie.	2	true
14	A man is spreading shreded cheese on a pizza.	angstrom man is spreading shreded tall mallow on a pizza pie.	1	true
15	Three men are playing chess.	Three men are playing chess.	5	true
16	Three men are playing chess.	Three men are playing darnel.	4	true
17	Three men are playing chess.	Three men ar acting cheat.	3	true
18	Three men are playing chess.	three men are acting chess.	2	true
19	Three men are playing chess.	three work force are playing chess.	1	true
20	A man is playing the cello.	A man is playing the cello.	5	true
21	A man is playing the cello.	A man is playing the violoncello.	4	true
22	A man is playing the cello.	A adult male be playing the cello.	3	true
23	A man is playing the cello.	angstrom adult male is playing the cello.	2	true
24	A man is playing the cello.	angstrom adult male is playing the cello.	1	true
25	Some men are fighting.	Some men are fighting.	5	true
26	Some men are fighting.	approximately men ar fighting.	4	true
27	Some men are fighting.	Some men argon fight.	3	true
28	Some men are fighting.	approximately work force are fight.	2	true
29	Some men are fighting.	Some work force are battle.	1	true
30	A man is smoking.	A man is smoking.	5	true
31	A man is smoking.	angstrom man be smoking.	4	true
32	A man is smoking.	angstrom man beryllium smoking.	3	true
33	A man is smoking.	angstrom adult male be smoking.	2	true
34	A man is smoking.	angstrom adult male be smoke.	1	true
35	The man is playing the piano.	The man is playing the piano.	5	true
36	The man is playing the piano.	The man is acting the piano.	4	true
37	The man is playing the piano.	The man be playing the pianoforte.	3	true
38	The man is playing the piano.	The adult male is playing the pianoforte.	2	true
39	The man is playing the piano.	The man be playing the pianoforte.	1	true
40	A man is playing on a guitar and singing.	A man is playing on a guitar and singing.	5	true
41	A man is playing on a guitar and singing.	A man is acting on a guitar and singing.	4	true
42	A man is playing on a guitar and singing.	angstrom man is playing on a guitar and singing.	3	true
43	A man is playing on a guitar and singing.	A man is acting on a guitar and vocalizing.	2	true
44	A man is playing on a guitar and singing.	A adult male is acting on a guitar and singing.	1	true
45	A person is throwing a cat on to the ceiling.	A person is throwing a cat on to the ceiling.	5	true
46	A person is throwing a cat on to the ceiling.	A person be throwing a cat on to the ceiling.	4	true
47	A person is throwing a cat on to the ceiling.	angstrom individual is throw a cat on to the ceiling.	3	true
48	A person is throwing a cat on to the ceiling.	angstrom person is throwing a true cat on to the roof.	2	true
49	A person is throwing a cat on to the ceiling.	angstrom person is throw a cat along to the roof.	1	true
50	The man hit the other man with a stick.	The man hit the other man with a stick.	5	true
51	The man hit the other man with a stick.	The man hit the other adult male with a stick.	4	true
52	The man hit the other man with a stick.	The man hit the other man with angstrom control stick.	3	true
53	The man hit the other man with a stick.	The man hit the other man with angstrom stick.	2	true
54	The man hit the other man with a stick.	The adult male hit the other man with a control stick.	1	true
55	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo.	5	true
56	A woman picks up and holds a baby kangaroo.	angstrom adult female picks up and holds a baby kangaroo.	4	true
57	A woman picks up and holds a baby kangaroo.	A woman choice up and holds a baby kangaroo.	3	true
58	A woman picks up and holds a baby kangaroo.	A woman picks up and holds angstrom unit baby kangaroo.	2	true
59	A woman picks up and holds a baby kangaroo.	A adult female choice up and holds a babe kangaroo.	1	true
60	A man is playing a flute.	A man is playing a flute.	5	true
61	A man is playing a flute.	angstrom man is playing a transverse flute.	4	true
62	A man is playing a flute.	A man is acting angstrom unit flute.	3	true
63	A man is playing a flute.	angstrom man is acting a transverse flute.	2	true
64	A man is playing a flute.	A adult male beryllium playing angstrom flute.	1	true
65	A person is folding a piece of paper.	A person is folding a piece of paper.	5	true
66	A person is folding a piece of paper.	A person is folding angstrom unit piece of paper.	4	true
67	A person is folding a piece of paper.	A person beryllium protein folding a piece of paper.	3	true
68	A person is folding a piece of paper.	angstrom person be folding angstrom piece of paper.	2	true
69	A person is folding a piece of paper.	A person is protein folding angstrom piece of composition.	1	true
70	A man is running on the road.	A man is running on the road.	5	true
71	A man is running on the road.	A adult male is running on the road.	4	true
72	A man is running on the road.	A man be running along the route.	3	true
73	A man is running on the road.	A man be running on the path.	2	true
74	A man is running on the road.	A adult male is running on the road.	1	true
75	A dog is trying to get bacon off his back.	A dog is trying to get bacon off his back.	5	true
76	A dog is trying to get bacon off his back.	A domestic dog is try to get bacon off his back.	4	true
77	A dog is trying to get bacon off his back.	angstrom dog be trying to get Roger Bacon off his back.	3	true
78	A dog is trying to get bacon off his back.	A dog is trying to get bacon slaying his dorsum.	2	true
79	A dog is trying to get bacon off his back.	angstrom dog be try to get bacon off his back.	1	true
80	The polar bear is sliding on the snow.	The polar bear is sliding on the snow.	5	true
81	The polar bear is sliding on the snow.	The polar bear be sliding along the snow.	4	true
82	The polar bear is sliding on the snow.	The polar bear be skid on the snow.	3	true
83	The polar bear is sliding on the snow.	The polar give birth be sliding on the snowfall.	2	true
84	The polar bear is sliding on the snow.	The diametric give birth beryllium sliding on the snow.	1	true
85	A woman is writing.	A woman is writing.	5	true
86	A woman is writing.	A adult female is authorship.	4	true
87	A woman is writing.	angstrom unit woman is authorship.	3	true
88	A woman is writing.	A woman beryllium authorship.	2	true
89	A woman is writing.	angstrom adult female is writing.	1	true
90	A cat is rubbing against baby's face.	A cat is rubbing against baby's face.	5	true
91	A cat is rubbing against baby's face.	A cat be rubbing against baby's human face.	4	true
92	A cat is rubbing against baby's face.	A cat be friction against baby's face.	3	true
93	A cat is rubbing against baby's face.	angstrom true cat is rubbing against baby's face.	2	true
94	A cat is rubbing against baby's face.	angstrom cat be rubbing against baby's human face.	1	true
95	The man is riding a horse.	The man is riding a horse.	5	true
96	The man is riding a horse.	The man is horseback riding a horse.	4	true
97	The man is riding a horse.	The adult male be riding a horse.	3	true
98	The man is riding a horse.	The man beryllium riding a Equus caballus.	2	true
99	The man is riding a horse.	The man is horseback riding angstrom Equus caballus.	1	true
100	A man pours oil into a pot.	A man pours oil into a pot.	5	true
101	A man pours oil into a pot.	A adult male pours oil into a toilet.	4	true
102	A man pours oil into a pot.	angstrom man pour oil into a pot.	3	true
103	A man pours oil into a pot.	A man pours oil color into a lavatory.	2	true
104	A man pours oil into a pot.	angstrom man swarm oil into angstrom pot.	1	true
105	A man is playing a guitar.	A man is playing a guitar.	5	true
106	A man is playing a guitar.	angstrom man is playing a guitar.	4	true
107	A man is playing a guitar.	A adult male be playing a guitar.	3	true
108	A man is playing a guitar.	angstrom adult male is acting a guitar.	2	true
109	A man is playing a guitar.	angstrom adult male is playing angstrom guitar.	1	true
110	A panda is sliding down a slide.	A panda is sliding down a slide.	5	true
111	A panda is sliding down a slide.	angstrom panda is sliding down angstrom slide.	4	true
112	A panda is sliding down a slide.	A panda is skid down angstrom unit slide.	3	true
113	A panda is sliding down a slide.	A panda is skid down feather a microscope slide.	2	true
114	A panda is sliding down a slide.	angstrom panda be skid down feather a slide.	1	true
115	A woman is eating something.	A woman is eating something.	5	true
116	A woman is eating something.	angstrom unit woman is eating something.	4	true
117	A woman is eating something.	angstrom woman be eating something.	3	true
118	A woman is eating something.	A woman is eating something.	2	true
119	A woman is eating something.	angstrom adult female is feeding something.	1	true
120	A woman peels a potato.	A woman peels a potato.	5	true
121	A woman peels a potato.	A adult female Peel a potato.	4	true
122	A woman peels a potato.	A woman peels angstrom white potato.	3	true
123	A woman peels a potato.	angstrom adult female peels a potato.	2	true
124	A woman peels a potato.	A adult female Peel angstrom white potato.	1	true
125	The boy fell off his bike.	The boy fell off his bike.	5	true
126	The boy fell off his bike.	The male child fell off his bike.	4	true
127	The boy fell off his bike.	The boy hide off his bike.	3	true
128	The boy fell off his bike.	The boy hide off his bike.	2	true
129	The boy fell off his bike.	The male child hide off his bike.	1	true
130	The woman is playing the flute.	The woman is playing the flute.	5	true
131	The woman is playing the flute.	The woman is acting the flute.	4	true
132	The woman is playing the flute.	The adult female beryllium playing the flute.	3	true
133	The woman is playing the flute.	The woman is playing the transverse flute.	2	true
134	The woman is playing the flute.	The woman is acting the flute.	1	true
135	A rabbit is running from an eagle.	A rabbit is running from an eagle.	5	true
