Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
What is a good undergraduate bioorganic chemistry book?,"<p>What is a good undergraduate bioorganic chemistry book? I would like one of these as I'm tired of non-university books on the subject. </p>
",67128,26-01-2017 09:10,Resources for learning Chemistry,"<p>Based on various other Stack exchange site (<a href=""https://chinese.stackexchange.com/questions/1120/resources-for-learning-mandarin-chinese"">Mandarin Chinese</a>, <a href=""https://russian.stackexchange.com/questions/833/resources-for-learning-russian"">Russian</a> and <a href=""https://german.stackexchange.com/questions/9526/resources-for-learning-german"">German</a>), we adapt this project here for chemistry, since it's a great idea to have all kinds of resources in one place.<hr></p>

<p>This is a specifically created Community Wiki which gathers resources for learning Chemistry. The lists are a <strong>community maintained project</strong>, hence <strong>everybody</strong> with more than 100 reputation points can contribute edits to the appropriate sections. If you feel something is missing, just fill it in. To avoid multiple answers for similar branches, we decided on a general outline, which is locked, i.e. no new answers can be added.<br>
 If you have concerns or questions, you can discuss this list on its parent <a href=""https://chemistry.meta.stackexchange.com/questions/2889/resources-for-doing-learning-chemistry"">meta post</a>. If they are of a more general concern, you can also <a href=""https://chemistry.meta.stackexchange.com/questions/ask"">post a new question on chemistry.meta.se</a>. This procedure is used, so the comment section here does not become too overcrowded. If you do choose the second option, please leave the link to it in the comments to this post.</p>

<h2>Organization</h2>

<ul>
<li>Answers have a type of resource <strong>each</strong>.</li>
<li>If possible, state whether the material is directed towards a <strong>beginner</strong>, <strong>intermediate</strong> or an <strong>advanced</strong> audience.</li>
<li><strong>Do not</strong> include links that lead to illegal content or sites that host such content. If you see any, please <strong>flag for moderator attention</strong> and choose ""other"" so you can point us to the content. We'll delete it as soon as we see the flag. (You can of course also delete it yourself. If you do, please flag it anyway, so that we are aware of it. In this case it is crucial you fill in the edit summary with something like: <em>Removed link to illegal content.</em>)</li>
<li>Both free and commercial resources are allowed, but make sure to include a note if they are the latter. Remember the <a href=""https://chemistry.stackexchange.com/help/behavior"">rules about self-promotion</a>. Include also if registration is required.</li>
<li>Include links to the sites only, <em>don't post images</em>, they would take too much space.</li>
<li>Add the resources in alphabetical order so they're easier to find.</li>
<li>For the resources, a short summary is very much appreciated.</li>
</ul>

<p><em>If you have questions about these guidelines, please head to <a href=""https://chemistry.meta.stackexchange.com/questions/2889/resources-for-doing-learning-chemistry"">meta</a> to make yourself heard. The above points are not set in stone and might change in the future.</em></p>

<h2>Alphabetical Index</h2>

<ul>
<li><p><strong>(Text)Books:</strong> All books that teach you chemistry with theory and exercises. The subcategories are:</p>

<ol>
<li><a href=""https://chemistry.stackexchange.com/a/37306/"">General Chemistry</a></li>
<li><a href=""https://chemistry.stackexchange.com/a/37305/"">Inorganic, Organic and Physical Chemistry</a></li>
<li><a href=""https://chemistry.stackexchange.com/a/37304/"">Analytical Chemistry, Biochemistry and Chemical Biology, Chemical Engineering, Computational and Quantum Chemistry, Theoretical Chemistry</a><br>
<em>You can add any subcategory to this post if it is missing.</em></li>
</ol></li>
<li><p><a href=""https://chemistry.stackexchange.com/a/37307/""><strong>Online courses and Websites:</strong></a> Free or paid services online that teach you chemistry through lessons as well as sites that give help for learning chemistry. They give material, tips, hints, and various help for self-learners or regular students.</p></li>
<li><a href=""https://chemistry.stackexchange.com/a/37880/""><strong>Software:</strong></a> This can be any software ranging from plugins for the browser over mobile apps up to standalone applications for the computer. Pure 2D or 3D visualization programs as well as quantum chemistry programs might not fit in this category, as they are not primarily focused on teaching chemistry.</li>
<li><a href=""https://chemistry.stackexchange.com/a/37310/""><strong>Video Resources &amp; TV:</strong></a> Video resources which help learning chemistry.</li>
</ul>

<p><em>Currently those are all categories. If you think, that a new one should be added, please submit an answer in the corresponding <a href=""https://chemistry.meta.stackexchange.com/questions/2889/resources-for-doing-learning-chemistry"">meta thread</a>. (A comment is probably not sufficient, as it does ""bump"" the question on the</em> active <em>tab.</em></p>
",37303,14-09-2015 13:49
Question about the mole,"<p>Why is  it to get from x amu---->xgram you need a mole of the substance.</p>

<p>I mean I underdstand this to be the case for Hydrogen. Why does a mole of a substance  CONVERT the substances amu into grams? </p>
",102547,05-10-2018 12:25,Why is weight of 1 mole of substance equal to atomic/molecular mass in grams?,"<blockquote>
  <p>Why is weight of 1 mole of substance equal to atomic/molecular mass in grams? </p>
</blockquote>

<p>According to me, it happens because mole has been defined in such a way. It is defined as the numbers of particles in $\pu{12 g}$ of $\ce{^{12}C}$. If it were $\pu{24 g}$ instead of $\pu{12 g}$, then the weight of 1 mole of substance would equal 2 times the atomic/molecular mass in grams.</p>

<p>Please correct me if I am wrong somewhere (or maybe everywhere).</p>
",10245,25-04-2014 17:32
Why do we use pV term independent of U in the equation H = U + pV?,"<p>I have read the following definition of enthalpy in my textbook:</p>
<blockquote>
<p>A substance has to occupy some space in its surroundings depending upon its volume (<span class=""math-container"">$V$</span>). It  does against the compressing influence of the atmospheric pressure (<span class=""math-container"">$p$</span>). Due to this,the substance possesses an additional energy called <span class=""math-container"">$pV$</span> energy which is given by the product of pressure (<span class=""math-container"">$p$</span>) and volume (<span class=""math-container"">$V$</span>) of the system.</p>
<p>The sum of internal energy and <span class=""math-container"">$pV$</span> energy of any system, under given set of conditions, is called enthalpy. It is denoted by <span class=""math-container"">$H$</span> and is also called <strong>heat content</strong> of the system. Mathematically, it may be put as <span class=""math-container"">$$H = U + pV$$</span></p>
</blockquote>
<p>Let's suppose we have some water in a test tube at room temperature open to atmosphere. It will have internal energy which consist of kinetic energy of  molecules, chemical energy, rotational energy and some other forms of energy. In order to occupy some space in its surroundings, the molecules of the water should vibrate in such a way that they cancel out the compressing influence of the air molecules present in the atmosphere.</p>
<p>So if we try to measure the internal energy of the system, isn't the energy required to make space for the surroundings already included in the internal energy of the system. <strong>Why do we add an extra term <span class=""math-container"">$pV$</span> along with internal energy <span class=""math-container"">$U$</span> to measure the heat content of the system?</strong></p>
",103885,05-11-2018 10:34,Enthalpy (H) formula: what is the pressure volume product,"<p>$$H=U+pV$$</p>

<p>Above is the formula for enthalpy or the sum of the internal energy and pressure volume product.</p>

<p>$-p\Delta V$ is work done by or on the system. But $pV$, yet very similar to work, I think, calculates the whole “cylinder”. Instead of just calculating the height difference of the cylinder before and after the air is condensed, it calculate the height of whole cylinder.</p>

<p>But anyway this is just my guess, what is it really?</p>
",19079,02-11-2014 20:31
Why is the chemical formula for vinegar CH3COOH what it is?,"<p>I am quite new to chemistry, but I would like to think that I have mastered the basics. This would include naming and writing out chemical formulas. However, once I had seen the formula for vinegar ($\ce{CH3COOH}$), I was bewildered. </p>

<p>It would have made sense to me that the formula would be more, say, ""compacted"" into just $\ce{C2H4O2}$. What is the reasoning behind this odd way of writing such formulas and when should I use it (it seems like this could be a huge gap in my knowledge)</p>
",68277,12-02-2017 05:02,Which one is the best notation for sodium acetate,"<p>I have seen two different notations for <strong>sodium acetate</strong>. The first one is:</p>

<p>$$\text{NaCH}_3\text{COO}$$</p>

<p>The second one is:</p>

<p>$$\text{CH}_3\text{COONa}$$</p>

<p>Now I'm confused, which one is the best to use?</p>
",33135,20-06-2015 12:00
Alphabetical priority of the isopropyl group,"<p>This passage is contradictory. I've boxed the section that confused me. </p>

<p><a href=""https://i.stack.imgur.com/rwBos.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rwBos.jpg"" alt=""enter image description here""></a></p>

<p>Why would the book tell me to alphabetize substituents, only to clearly ignore its own rule about alphabetizing substituents? </p>

<p>Seems to me that ""isopropyl"" should come before ""methyl,"" as the letter ""i"" is most definitely before the letter ""m"" in the alphabet. And the book makes no mention about ignoring the ""iso-"" prefix. </p>

<p>So:</p>

<p>1) Should methyl come before isopropyl? </p>

<p>2) If so, why? </p>
",68232,11-02-2017 17:16,Alphabetical order in nomenclature,"<p>Shouldn't 4-isopropyl-2-cyclohexyl-3,5-dimethylheptane be written as 2-cyclohexyl-3,5-dimethyl-4-isopropylheptane, by following alphabetical order?</p>

<p>Or maybe you don't look at the cyclo or the di prefix when you look for alphabetical order.</p>
",46657,21-02-2016 06:37
Why aren't these two resonance structure same?,"<blockquote>
  <p>Draw the resonance structures of Fluorobenzene.</p>
</blockquote>

<hr>

<p>In the solutions the structures below were given, I wonder why these structures are not just same. Both of these structures have a negative formal charge on the ortho position. </p>

<p><a href=""https://i.stack.imgur.com/sn7uo.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/sn7uo.png"" alt=""enter image description here""></a></p>

<hr>

<ul>
<li>Are the above structure of Fluorobenzene same ? </li>
</ul>
",68159,10-02-2017 17:50,Number of resonance structures of nitrobenzene,"<p>I was studying about the resonance and here's my doubt:</p>

<p><a href=""https://i.stack.imgur.com/LeKGt.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/LeKGt.png"" alt=""enter image description here""></a></p>

<p>How many resonating structures are there in nitrobenzene? Is it 5 (as drawn) or is it 4 because first and the last structures are same or is it 3 because second and fourth structures are also same?</p>

<p>In short, do we count fifth structure when we take the number of resonating structures?</p>
",41443,29-11-2015 16:02
Why is the mass of 1 mole of an atom/molecule equal to its gram atomic/molecular mass?(proof),"<p>Why do we take the mass of 1 mole of an atom to be equal to its gram atomic mass and the mass of 1 molecule to be equal to its gram molecular mass? I want a mathematical rigorous proof. There are other questions on this site dealing with this question but none of them have the ""proof"".</p>
",68031,08-02-2017 20:38,Why is weight of 1 mole of substance equal to atomic/molecular mass in grams?,"<blockquote>
  <p>Why is weight of 1 mole of substance equal to atomic/molecular mass in grams? </p>
</blockquote>

<p>According to me, it happens because mole has been defined in such a way. It is defined as the numbers of particles in $\pu{12 g}$ of $\ce{^{12}C}$. If it were $\pu{24 g}$ instead of $\pu{12 g}$, then the weight of 1 mole of substance would equal 2 times the atomic/molecular mass in grams.</p>

<p>Please correct me if I am wrong somewhere (or maybe everywhere).</p>
",10245,25-04-2014 17:32
Thermodynamic stability and Inertness,"<p>The following is from my teacher's notes:</p>

<blockquote>
  <p>The reaction (where the reaction mixture is thermodynamically unstable but kinetically inert) tends to go as indicated by a positive total entropy change, yet nothing happens because the rate of the reaction is too slow to be noticeable due to a high <span class=""math-container"">$E_\mathrm a$</span>.</p>
</blockquote>

<p>Does that mean that the reaction is taking place but we don't see it because of how slow it is, or that the reaction will not take place in the first place?</p>

<p>This is A2 chemistry.</p>
",104766,24-11-2018 16:47,Difference between thermodynamic and kinetic stability,"<p>What is the difference between thermodynamic and kinetic stability? I'd like a basic explanation, but not too simple. For example, methane does not burn until lit -- why?</p>
",2881,05-01-2013 13:40
"Why isn't ammonium strong acid, since it's charged and ammonia is neutral?","<p>Why is ammonium such a weak acid $(\mathrm pK_\mathrm a = 9.24)$, if $\ce{NH4+}$ has a positive charge on nitrogen, while $\ce{NH3}$ is neutral. It means that conjugate base (ammonia) is really stable, which makes conjugate acid a strong acid.</p>

<p>Another argument why ammonium should be strong acid is comparison with hydronium ion $\ce{H3O+}$. Both nitrogen (EN = 3.04) and oxygen (EN = 3.44) are significantly electronegative atoms and ""don't like"" to be positively charged. That explains pretty good hydronium ion $\mathrm pK_\mathrm a = -1.74$, but why is then ammonium $\mathrm pK_\mathrm a$ is just $9.24$?</p>
",67800,05-02-2017 14:02,Why is ammonium a weak acid if ammonia is a weak base?,"<p>$\ce{NH3}$ is a weak base so I would have expected $\ce{NH4+}$ to be a strong acid. I can't find a good explanation anywhere and am very confused. Since only a small proportion of $\ce{NH3}$ molecules turn into $\ce{NH4+}$ molecules, I would have expected a large amount of $\ce{NH4+}$ molecules to become $\ce{NH3}$ molecules.</p>
",65297,28-12-2016 18:44
Does purified water corrode copper pipes?,"<p>In other words would a reverse osmosis system corrode copper pipes due to it's purification?  Does purified water speed up copper pipe corrosion leading to pin holes, etc.?</p>
",67616,02-02-2017 22:02,Is pure water very corrosive?,"<p>In other <a href=""https://outdoors.stackexchange.com/questions/4929/how-safe-is-drinking-distilled-water/4930#4930"">site</a>, someone claimed that pure water is very corrosive.</p>
<blockquote>
<p>Water distilled for some laboratory uses (like the Z-pinch reactor) is distilled to 0.00000009% purity, and is caustic enough to burn through most things.</p>
<p>Water, purified enough, cannot be distributed through stainless steel pipes. Instead, they use glass pipes to transport it within the plants where it's made.</p>
</blockquote>
<p>For sure, caustic is not the correct word, since water is neutral.</p>
<p>But, is it that corrosive? Or is it even less than water with salt?</p>
",7467,22-12-2013 01:32
"When we say ""the energy in a system"" (in chemistry) do we mean the energy stored in the chemical bonds in the compounds present in that system?","<p>Is it the energy stored in the chemical bonds of the compounds present in a system, that we refer to as the energy in/of a system ?</p>
",67364,30-01-2017 02:02,"What exactly does a ""system"" include in chemistry?","<p>If we have reactants $\ce A$ and $\ce B$ and the reaction(s) between them haven't started yet, are those reactants our ""system""?</p>

<p>After the reaction takes place, are products then also included in the ""system""?</p>

<p>Basically, is it the case that the term ""system"" refers to all the chemicals we have in a reaction? </p>
",67214,27-01-2017 19:41
"Why is the product of sodium and water, sodium hydroxide and not sodium oxide?","<p>In the reaction $\ce{Na(s) + H2O}$ the products are listed as $\ce{NaOH(aq) + H2 (g)}$, but why would $\ce{Na2O}$ not be a possible product?</p>

<p>I searched and found that the reaction $\ce{Na2O + 2H2O -&gt; 2NaOH}$ occurs as well. Does it have to do with the stability of oxides?</p>
",67083,25-01-2017 19:33,"Why does sodium react with water to produce a hydroxide, while zinc produces an oxide?","<p>Sodium belongs to the so-called active metals and produces a hydroxide on contact with water. Zinc produces an oxide. Why is it so? </p>

<p>I was given a hint: to read up about electrochemical series. I've read about it, and naturally zinc is way below sodium in the series. Sodium is more enthusiastic about giving away its electrons and forming positive ions.</p>

<p>Zinc is slightly below this bolded line in the series, but I'm afraid I do not fully understand what that means. ""Hydrogen gas bubbled through an alkaline solution, shedding two electrons to produce water and neutralize the solution""? </p>

<p><a href=""https://i.stack.imgur.com/5fjeC.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/5fjeC.png"" alt=""enter image description here""></a></p>
",50912,09-05-2016 07:37
Does the green color represents existence of Copper in it,"<p>World is full of green, because of plants. Does it really signifies existence of Copper, in particularly by <code>leafs</code>.</p>

<p>I well understood that Prolific Tamarind Colored Salt has base element Copper. More usage of Tamarind makes us dump as per Siddhas in India.</p>

<p>Would like to know specifically that green color means existence of Copper. Is that completely true. Or by Alkali elements it might be faulty in some situation.</p>
",66981,24-01-2017 06:40,Is the colour of leaves due to d-d transitions in chlorophyll?,"<p>While reading a chapter on transition metals, I came to know that d-Block elements have colour compounds due to d-d transitions.  A question came to my mind as to whether there is any d-d kind of transitions in plants as they also show characteristics colours.</p>

<p>I know the green colours of leaves is due to presence of chlorophyll and also there are coloured pigments in plants.</p>

<p>I may be wrong in my thought, but I really want to clarify my doubt.</p>
",16127,10-09-2014 02:57
How to detect equivalence points?,"<p>How do we detect equivalence point from a titration of an acid with a basic titrant from thу titration curve (<span class=""math-container"">$\mathrm{pH}$</span> vs. Volume of titrant added)?</p>

<p>Can we predict an equivalence point just by seeing the shape?
Some people say that</p>

<blockquote>
  <p>when <span class=""math-container"">$$\frac{\mathrm{d(pH)}}{\mathrm{d}V} = 0,$$</span> equivalence point has been reached.</p>
</blockquote>

<p>Is it correct? I doubt if it is correct. It is also written that there is a distinct ""break"" in the curve at equivalence point. What is this break?</p>
",106918,20-12-2018 14:28,"Titration curve graph, finding exact point of the equivalence point","<p><a href=""https://i.stack.imgur.com/KqJQl.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/KqJQl.png"" alt=""enter image description here""></a></p>

<p>I plotted all my data points and made this graph in excel. Now I need to find the volume of titrant required to read the equivalence point, as well as the pH after 18.5 mL of titrant have been added. If there any... best/correct way to go about this or anything in excel I should use to point the exact points on the line I have? Or am I just taking my best guess looking at it here? </p>
",47690,10-03-2016 02:07
pH of aqueous solution of HCl of low concentration,"<blockquote>
  <p>What is the pH of $10^{-8}~\mathrm{M}$ $\ce{HCl}$ solution in water?</p>
</blockquote>

<p>My attempt: </p>

<blockquote>
  <p>pH = $-\log(10)^{-8}$ = 8</p>
</blockquote>

<p>But this is wrong because it should be acidic. Where have I gone wrong?</p>
",66843,22-01-2017 10:50,Calculating the pH of a highly dilute solution of HCl,"<p>For relatively high concentrations of $\ce{HCl}$, I usually just assume that $[\ce{H+}] = [\ce{HCl}]$, because $\ce{HCl}$ is a strong acid and is completely ionized in solution. By taking the negative logarithm of the concentration of $\ce{[H+]}$, the pH comes out more or less correctly.</p>

<p>However, at very low concentrations, this method doesn't work out so well, because water has an amount of auto-ionization, which is described by $K_\mathrm{w} = 10^{-14}$. My old method was just to say that</p>

<p>$$[\ce{H+}] = [\ce{HCl}] + \pu{10^-7 mol dm-3},$$</p>

<p>to include the auto-ionization of water in my calculations. I can't really describe why, but I believe this method to be wrong, because the number $\ce{10^{-7}}$ comes from water just by itself, not with $\ce{HCl}$ added to it.</p>

<p>Then I came across <a href=""http://www.chemteam.info/AcidBase/Trick-pH-question.html"" rel=""noreferrer"">this website,</a> which implies that the above method is an OK method, but mentions that ""However, that more complex technique will not be discussed here."". What is that 'more complex technique', and how could I use it?</p>
",35559,27-08-2015 11:26
What can be products when aluminum sulfate is dissolved in water,"<p>This is a follow up from an answer to one of my questions (<a href=""https://chemistry.stackexchange.com/questions/47695/dissociation-of-aluminum-sulfate-in-water"">here is the link</a>)</p>

<p>I tried dissolving aluminum sulfate in pure distilled water. I used the same concentration: 12 mL of aluminum sulfate in 100 g of water, yet I saw a precipitate. Can someone please let me know what is happening. My best guess is that the aluminum sulfate is reacting with water and forming aluminum hydroxide.</p>
",66379,16-01-2017 02:02,dissociation of aluminum sulfate in water,"<p>I had a question as to what happens when aluminum sulfate is placed into water. After conducting research online, I got varied answers: some say that it dissociates into Al$^{3+}$ and SO$_4$$^{2-}$ ions, while others claim that aluminum sulfate will react with water to form aluminum hydroxide and sulfuric acid.</p>

<p>I even conducted a mini-lab by placing aluminum sulfate in water and sometimes there was precipitate (assumed to be aluminum hydroxide) and sometimes there was none.</p>

<p>What is really happening?</p>
",47695,10-03-2016 03:09
