Title1,Body,Id,CreationDate,Title2,Body,Id,CreationDate
Using 14 ga on part of a 20A circuit?,"<p>I'm building an outdoor bbq and have a 20A circuit with 2 runs - 1 for outlets and 1 for lights. The outlets are done with 20A receptacles and 12 ga wire inside 1/2"" emc.</p>

<p>The lights will be hanging pull lights (16 ga wire in the cord) and because it's a little cheaper and easier, I wanted to get power to the fixtures by 14 ga wire, also in 1/2"" emc.</p>

<p>Is this a no-no? The only thing on this run would be 5 lights, so very low load.</p>
",158151,20-02-2019 22:08,20 amp breaker with 12 gauge and 14 gauge wire,"<p>I am looking at replacing a couple of old, porcelain style single bulb fixtures in my basement with some 4 lamp fluorescent fixtures.  I am actually running new wire to the fluorescent fixtures from a 100amp sub panel in the basement, and not reusing then existing wiring that goes to the current light.</p>

<p>As I was taking the porcelain fixture down I discovered that there is 14 gauge wire going to it - ok.  There are 3 such fixtures in the basement.  There are also other things on this same breaker upstairs in the main living part of the house - 3 or 4 outlets that are on 12 gauge wire.  The breaker is a 20 amp breaker for all of these.  Is this ok to mix 14 &amp; gauge wire like this?  If not, why did they do it?</p>
",58027,18-01-2015 15:19
ground wire to neutral in a boathouse,"<p>Recently a home inspector flagged the panel box in a boathouse for having a ground wire attached to the neutral bus bar. The ground came from a jet ski lift attached to the boathouse. This 10 yr old house was in sale process so it had been that way for 10 yrs. I moved the wire to the ground bar. Is that ok?</p>
",159301,07-03-2019 13:49,Why does a subpanel need separate ground and neutral?,"<p>Why does a power sub panel have to have separate neutral and ground bars other than code satisfaction?</p>

<p>Does a sub panel need a main breaker if there is one at the main? </p>

<p>Also, does the sub panel need a ground wire connected back to the main panel in the same building?</p>
",52696,12-11-2014 13:54
Repairing holes in an interior door,"<p>Well, um, uh, long story short, I have holes in one of my interior doors.</p>

<p><a href=""https://i.stack.imgur.com/YarlU.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/YarlU.jpg"" alt=""severely damaged door""></a></p>

<p>Full picture of door here: <a href=""https://i.imgur.com/SUBbWY3.jpg"" rel=""nofollow noreferrer"">https://i.imgur.com/SUBbWY3.jpg</a></p>

<p>What is the best way to go about repairing it? Should I go about this similar to fixing holes in drywall? Should I find replacement wood to go into the holes? I am concerned about the amount of missing material. I am not sure if tons of spackle paste would work well as the other question's answer states.</p>
",131797,26-01-2018 20:45,How do I fix a hole in a hollow door?,"<p>My son sometimes has a temper, and has been known to hit his door when sent to his room. He has actually done so enough to punch a bit of a hole in it. I'm trying to figure out what might be doable to fix the door. Here is a photo of it:</p>

<p><img src=""https://i.stack.imgur.com/Azfxrl.jpg"" alt=""enter image description here""></p>

<p>As can be seen, there is a crack on the left that is visible and slightly dented in, and the center/right hole is actually pressed in pretty good. The punched hole is approximately 6 inches in diameter. </p>

<p>I'm going to make my son pay for the repairs from his allowance, and as that is limited, I am hoping for a fairly quick/inexpensive solution.</p>

<p>Any ideas as to what can be done? </p>
",15253,29-06-2012 23:59
How to repair cupboard hing that tore off particle board,"<p>The top hinges of the cupboard have been torn out of the particle board taking a big chunk with it and leaving quite a deep crater with just a couple of dents for where the holes used to be as illustrated below.</p>

<p>The picture doesn't really show the depth of the ripped hole, but it's fairly deep and those screw holes are really just dents now.</p>

<p>Is there a fairly quick and easy way to fix this?</p>

<p><a href=""https://i.stack.imgur.com/fTRIp.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/fTRIp.jpg"" alt=""enter image description here""></a> </p>
",108147,06-02-2017 16:34,Is there any way to fix a hinge pulled out of particle board cabinet door?,"<p>I hit my head on the open door cabinet over the sink, yet again, and slammed the door shut in anger.  Adding insult to injury, the whole hinge pulled out of the particle board and took a big chunk of the door with it: <a href=""https://i.imgur.com/w7ttX.jpg"">Photo of damage</a></p>

<p><img src=""https://i.stack.imgur.com/sNoZm.jpg"" alt=""enter image description here""></p>

<p>Is there any way to fix it?  I know these are terrible cabinets, but replacing them isn't in the plans.</p>
",7205,24-06-2011 15:19
How Do I Connect PVC Pipe to a Toilet Waste Pipe?,"<p>I'm renovating a bathroom. How do I connect a PVC pipe and toilet flange to the existing steel or cast iron waste pipe?</p>

<p>Should I use PVC/DWV foam core pipe?</p>

<p>(I think that the existing pipe is steel, but it might be cast iron.)</p>

<p>Pls see the lovely view of the existing toilet waste pipe below:</p>

<p><a href=""https://i.stack.imgur.com/uiKPI.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/uiKPI.jpg"" alt=""""></a></p>

<p>Is this the coupling I should use?</p>

<p><a href=""https://i.stack.imgur.com/xwqNo.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/xwqNo.jpg"" alt=""enter image description here""></a></p>
",109208,24-02-2017 22:43,How do I replace this cast iron toilet flange?,"<p>I have a big old gawd awful cast iron (at least I think it's cast iron, the house was built in 1940) toilet flange that is in sorry shape.</p>

<p>See?
<img src=""https://i.stack.imgur.com/ggito.jpg"" alt=""enter image description here""></p>

<p>There will never be a better time to replace it - as we have the floor above and ceiling below it open, and it desperately needs it, obviously.</p>

<p><img src=""https://i.stack.imgur.com/CS1sV.jpg"" alt=""enter image description here""></p>

<p>I have never done anything with cast iron before, however, and do not know how I should proceed.  Should I break the pipe back on the long straight stretch and connect to pvc using a rubber connector like this?</p>

<p><img src=""https://i.stack.imgur.com/SZ3eU.jpg"" alt=""enter image description here""></p>

<p>Or should I focus on just trying to replace the flange (which seems much more difficult to me...)</p>

<p>I know cast iron is hard to cut - is a grinder going to be more effective at cutting this stuff?  (Huge mess for the kitchen below :( - but I can hang trash bags or something underneath I suppose...)</p>

<p><img src=""https://i.stack.imgur.com/19y6q.jpg"" alt=""enter image description here""></p>

<hr>

<h2>UPDATE 5 Nov 2012</h2>

<p>The end result:</p>

<p><img src=""https://i.stack.imgur.com/9fypW.jpg"" alt=""enter image description here""></p>

<p><img src=""https://i.stack.imgur.com/XCGOU.jpg"" alt=""enter image description here""></p>

<p><img src=""https://i.stack.imgur.com/bZHe7.jpg"" alt=""enter image description here""></p>

<p><img src=""https://i.stack.imgur.com/ABkbU.jpg"" alt=""enter image description here""></p>
",20318,29-10-2012 01:07
How many Outlets can you put on a 14-2,"<p>Barcode how many outlets can you put on a 14-2 Wire</p>
",133796,01-03-2018 17:24,How many outlets can you have on one 15 amp circuit?,"<p>In my rebuilding project I have counted 18 outlets and lights on one bedroom circuit that travels through 3 rooms. Is that ok?</p>
",52974,17-11-2014 02:15
Duck tape versus electrical tape,"<p>My grandson has autism and has chewed up the cord to the computer. The wires are not cut but the insulation is gone. </p>

<p>Can I use duck tape till I get a new cord?</p>
",133926,04-03-2018 14:55,Is Duck/Duct tape safe to use to insulate mains wires?,"<p>Question says it all really. Based in the UK so mains is 240v and 20 amps. It's a lighting circuit.</p>
",61948,13-03-2015 20:09
how many outlets and fixtures can I connect to 20 amp cicuit?,"<p>can I connect one GFCI ,and one non GFCI, outlet along with 2 lights and an exhaust fan on a 20 amp circuit fed by a 12/2 wire?</p>

<p>I notice that some experts suggest a dedicated circuit for a GFCI outlet. Does this mean I must run a separate feed e.g. 14/2 to the lights in the bathroom? </p>
",134232,09-03-2018 13:02,How many outlets can you have on one 15 amp circuit?,"<p>In my rebuilding project I have counted 18 outlets and lights on one bedroom circuit that travels through 3 rooms. Is that ok?</p>
",52974,17-11-2014 02:15
can 3 2x6 x8' wooden board support a 900lb load?,"<p>I wish to support a 900 lb motor I want to use 3 2x6x8 for a support beam will this be enough?</p>
",108650,15-02-2017 19:40,"How much load can a (wood) board support, if it is supported only at the ends?","<p>How much load can a board support, if it is supported only at the ends?</p>

<p>At the moment my specific problem is hanging a tire swing between two trees, and depending on which trees I choose they could be 10, 12, or 14 feet apart (center to center).  If I securely attach a 2x4 to the trees and hang the swing from the middle, would it be at risk of breaking from 2 children playing on it (so I'd guess around 300lbs max with them bouncing and jumping onto it)</p>

<p>But my bigger question is the general case: how do you calculate (or where do you look up) what kind of loads can be supported by the wood in question?  (other examples would be a 1x10 shelf with supports 24"" apart, or 1/2"" plywood on a 2' x 4' frame).  I'm not an engineer (well, software, but that doesn't count here), but I can do simple math (linear algebra, trig, calculus) and have a basic understanding of physics.</p>
",8112,05-08-2011 17:57
Wanting to run power to my workshop.,"<p>I have 8/3 Romex wire and shop is 60 ft. From my house. Heard to many of different ways to do it, but I want it to be down safe and the right way. I need to know what size of subpanel and what breakers can I use? Wanting 3 outlets, 1 for lights and stereo, 1 for tools 15amp on tools nothing bigger than that and 1 for misc. Main panel in the house is 150amp cutler-hammer with 6 spaces still open. </p>
",135721,17-03-2018 23:10,Is 6/2 Romex the correct wire gauge for a 100' run to a workshop?,"<p>I bought an old house that has a fuse box. The place has a milk barn that I want to convert to a workshop. Can I run 6/2 wire from the the two 120 volts wires coming from the fuse box?  </p>

<p>I want to run it into a 200amp breaker box in the barn. I will be using a 220V dryer and maybe a welder if that is possible.</p>
",53634,30-11-2014 20:30
Mold in unpainted wood? How to treat?,"<p>I have a door that was installed and the contractor put in some spacer wood. I didn't paint them and these were exposed to some rain (I'm in Los Angeles where it rains a few days a year)</p>

<p>Here's a picture of the wood up close. Are those black spots mold? I tried to rub them off and they wouldn't come off. Do I need to treat it or can I just paint over that?</p>

<p><a href=""https://i.stack.imgur.com/WevCi.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/WevCi.jpg"" alt=""wood frame close up""></a></p>
",135927,20-03-2018 22:03,What is the recommended way to destroy mold?,"<p>Back in the day I've heard that bleach is a good way to kill mold. The other day a home inspector suggested that Dawn dish soap actually works much better than bleach. I've heard from another home inspector to use the store-bought mold killer.</p>

<p>Does anyone know what really works and what doesn't for a DIYer?</p>
",14680,03-06-2012 17:29
How to protect a new wood floor from renovation traffic,"<p>I have had hardwood flooring installed in my home, with further renovation (kitchen) upcoming. The kitchen floor is tile which I'm not worried about, but to get to and from the kitchen means travelling over the hardwood (urethane finish). The installers used cardboard from the shipping boxes to protect the floor as they were working over it. To keep the cardboard from sliding around, it was taped down with painter's tape. It only took them a few days to complete the work, after which I had no trouble removing the tape. The kitchen work is another matter; there will be activity spread over a few weeks. </p>

<p>I'm thinking of using the same technique as the flooring installers - lay down cardboard and secure with painter's tape, but I've read that you can only rely on 7-14 day release. Is this true? Will I have problems removing the tape from the flooring if left in place for 3-4 weeks? Will it damage, discolor or cloud the finish if left that long?</p>
",108537,14-02-2017 02:41,What should I use to protect and cover my floors during construction?,"<p>We are building a new house and I'm installing the laminate wood flooring.  The builder suggested I cover the flooring after I'm done to protect it during the last few weeks of construction and with moving in.  What would you suggest I use?  Rosin paper, Kraft paper, or something more?</p>
",21261,05-12-2012 03:33
Running 100 amp service,"<p>What wire size is needed to run 100 amp service 220 feet with no more than 3% voltage drop? Running a fused disconnect off of meter on house out to detached garage.</p>
",108491,12-02-2017 23:40,Wire size for 100 amp subpanel in detached garage 215' away,"<p>What size of wire do I need to run from 200 amp meter panel to 100 amp sub panel in detached garage 215' away? </p>
",74445,12-09-2015 01:41
Electrical switch issues,"<p>Ok I was getting ready to wire a ceiling fan and wasn't sure which switch it was going to.  I connected the hot coming in to one of the switch legs to use my tester.  Now keep in mind the other switch leg was not connected on both ends.  To my surprise the switch leg not hooked up was reading hot.  Any suggestion on what the issue would be?</p>
",108384,10-02-2017 04:48,Determine if wire in switch box is safe to re-purpose?,"<p>I need to pull a neutral wire to my light switch for a smart switch.  It's presently switching an outlet that I don't need switched, and the other side of the outlet already has unswitched power.  My plan is to use a smart switch, which requires neutral, to control a different device wirelessly.  </p>

<p>I can't feasibly run a new wire, because the wires aren't run through conduit.  Instead, my plan is to repurpose the switched wire to get neutral from the outlet.  </p>

<p>The switch, which controls an outlet has two wires, one black and one red.  The switched outlet has a white neutral wire, plus the red and black wires that I assume run directly to the switch.</p>

<p>I've completely disconnected the red and black wires from the outlet and the switch.  The black wire is measuring 120V AC when measured against ground using the box as ground, both at the outlet and at the switch. Using my DMM, the red wire is measuring 24V AC with respect to the box/ground at both sides.  I assume this is a <a href=""http://www.fluke.com/fluke/uses/comunidad/fluke-news-plus/articlecategories/electrical/dualimpedance"" rel=""nofollow noreferrer"">ghost voltage</a> caused by induction from the charged black wire over to the floating red wire.  </p>

<p>Our house is ~100 years old and this particular switch seems to be run using armored cable (note the paper wrap around each wire.)  There are literally only two wires in the switch box; no wire nuts.  </p>

<p>If relevant, we do have some old knob and tube wiring active, but I'm pretty confident there's none on this circuit.</p>

<p>Is there some way I can determine with enough confidence that the red wire isn't connected elsewhere such that I can know it's safe to connect the red wire at the outlet to netural?</p>

<p><a href=""https://i.stack.imgur.com/rubSGm.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/rubSGm.jpg"" alt=""Outlet""></a>
<a href=""https://i.stack.imgur.com/kFNsNm.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/kFNsNm.jpg"" alt=""Switch box""></a></p>
",104680,18-12-2016 20:27
Installing electrical box in 2x4,"<p>I'm designing a custom headboard for our bed and I want to install electrical into the cubbies I am making in the headboard (primarily for cell phone charging). In my current design, the electrical box would be installed into a cut out 2x4.</p>

<p>I've attached two sketchup models for reference. My primary question is this: <strong>Are there any U.S. electrical codes or even best practices I need to be aware of in regards to where and into what material I can install an electrical box?</strong> The only thing I could find was that a box can protrude through up to 1/2"" of drywall, so I'm wondering if that means that attempting to protrude through a larger (flammable) piece of material like this is against code. If you have any other related advice/caution about running electrical into furniture, that would be welcomed as well. Thanks!</p>

<p>EDIT: In my design, this 2x4 could be changed to a different material, but initially I was trying to keep the structure to 2x4s and plywood for simplicity. I could switch to a thinner material if that would help me to be in compliance.</p>

<p><a href=""https://i.stack.imgur.com/RZpks.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/RZpks.png"" alt=""Front""></a>, <a href=""https://i.stack.imgur.com/s4J5f.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/s4J5f.png"" alt=""Side""></a></p>
",108338,09-02-2017 13:33,How to add electrical fixtures to (custom) furniture?,"<p>Having electrical outlets, USB charging ports, night lights, etc would be nice to have on some pieces of furniture, like side tables. Several receptacle manufacturers make combination fixtures with USB and power, for instance, or power plus a night light. </p>

<p>I've thought about nailing an electrical box to a (hidden) portion of the table and putting one of those receptacles in it, but what things do I need to consider doing this? Is it as simple as it sounds,  and then just fashioning some kind of plug out of 12/2 or 14/2 wire? Does the answer change if the box is concealed (though still accessible) vs it being completely visible? </p>
",103427,28-11-2016 04:38
Identifying kitchen faucet stem,"<p>I have been having a hard time identifying the stem for my kitchen sink. Any input would be appreciated. The <a href=""https://diy.stackexchange.com/questions/68702/how-to-identify-an-old-compression-stem-in-order-to-find-a-replacement"">How to find a replacement </a>did not help as this stem has 11 points<a href=""https://i.stack.imgur.com/z8muA.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/z8muA.jpg"" alt=""Mystery stem""></a><a href=""https://i.stack.imgur.com/ubHMf.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ubHMf.jpg"" alt=""enter image description here""></a></p>

<p>The broach diameter is 0.375 inches and the height is ~1.2 inches. </p>
",108312,09-02-2017 00:31,How to identify an old compression stem in order to find a replacement,"<p>I have an old (circa 1920s) bathroom faucet with a compression stem that started to leak unless tightened extremely tightly. When I took out the compression stem to replace it, I found that the screw attaching the seal at the bottom was seized and corroded. Replacing the faucet would be difficult because of limited access - I would need to remove the toilet cistern in order to get in there. So I am looking for a replacement compression stem for this faucet. </p>

<p>I am having a very hard time identifying it and finding a replacement. I have tried several local plumbing supply stores. I sent images to American Brass and American Standard - both told me they could not identify the part as theirs. I also contacted <a href=""http://www.tapcogenuinepartscenter.com/"" rel=""nofollow noreferrer"">Tapco</a> who is supposed to specialize in things of the sort. They told me they would need to know the product line in order to identify the part. I have no idea how to determine the product line though. How can I better identify this part?</p>

<p><img src=""https://i.stack.imgur.com/7wLwd.jpg"" alt=""Compression stem side view"">
<img src=""https://i.stack.imgur.com/ZQLpF.jpg"" alt=""Compression stem bottom view"">
<img src=""https://i.stack.imgur.com/zR0g8.jpg"" alt=""Handle"">
<img src=""https://i.stack.imgur.com/ZyT0y.jpg"" alt=""Sink"">
<img src=""https://i.stack.imgur.com/Ss2VQ.jpg"" alt=""Faucet top"">
<img src=""https://i.stack.imgur.com/7Dcgv.jpg"" alt=""Faucet side""></p>
",68702,04-07-2015 01:54
